PLAYER,TEAM,GP,W,L,MIN,PTS,Pull Up FGM,Pull Up FGA,Pull Up FG%,Pull Up 3PM,Pull Up 3PA,Pull Up 3P%,Pull Up eFG%,FGM,FGA,FG%,3PM,3PA,3P%,Freq%
Isaiah Stevens,MIA,3.0,3.0,0.0,1.8,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,1.0
Elijah Harkless,UTA,10.0,1.0,9.0,13.8,0.3,0.1,0.5,20.0,0.1,0.3,33.3,30.0,1.1,3.5,31.4,0.7,2.5,28.0,0.14
RayJ Dennis,IND,11.0,7.0,4.0,6.4,1.2,0.5,1.2,38.5,0.3,0.7,37.5,50.0,1.0,3.0,33.3,0.5,1.9,28.6,0.4
Jordan Goodwin,LAL,29.0,17.0,12.0,18.7,1.0,0.5,1.2,38.9,0.1,0.3,20.0,41.7,2.2,5.0,43.8,0.9,2.3,38.2,0.24
Brandon Williams,DAL,33.0,15.0,18.0,14.8,1.2,0.5,1.2,41.0,0.2,0.7,26.1,48.7,3.0,5.7,52.1,0.7,1.8,40.0,0.21
Collin Gillespie,PHX,33.0,12.0,21.0,14.0,1.6,0.6,1.6,38.5,0.4,0.8,42.9,50.0,2.1,4.8,43.0,1.2,2.7,43.3,0.33
Marcus Smart,WAS,34.0,17.0,17.0,20.0,1.9,0.8,1.8,41.9,0.4,1.1,36.1,52.4,3.0,7.6,39.3,1.4,4.1,34.8,0.24
Kyle Lowry,PHI,35.0,14.0,21.0,18.8,0.9,0.3,1.0,33.3,0.2,0.7,32.0,44.4,1.2,3.3,35.0,0.8,2.5,33.0,0.3
Lonzo Ball,CHI,35.0,16.0,19.0,22.2,1.9,0.7,1.8,37.5,0.5,1.2,39.5,50.8,2.5,6.9,36.6,1.9,5.6,34.4,0.26
Jevon Carter,CHI,36.0,13.0,23.0,8.9,1.8,0.7,1.9,35.3,0.4,1.5,30.2,47.1,1.5,4.1,37.7,1.0,2.9,33.3,0.46
Ayo Dosunmu,CHI,46.0,17.0,29.0,30.3,0.8,0.3,1.1,28.6,0.2,0.7,26.7,36.7,4.8,9.8,49.2,1.3,4.1,32.8,0.11
Jordan McLaughlin,SAS,46.0,17.0,29.0,6.8,0.9,0.3,0.6,53.6,0.2,0.4,55.0,73.2,0.7,1.6,43.1,0.4,1.0,41.3,0.38
Jalen Pickett,DEN,49.0,31.0,18.0,13.6,1.3,0.5,1.3,40.6,0.3,0.5,58.3,51.6,1.6,3.7,42.8,0.8,2.1,39.6,0.35
Jose Alvarado,NOP,56.0,19.0,37.0,24.4,3.0,1.1,2.9,39.1,0.7,2.0,36.4,51.6,3.6,9.3,39.2,2.0,5.5,35.9,0.31
D'Angelo Russell,BKN,58.0,26.0,32.0,25.5,4.5,1.7,4.8,35.9,1.1,3.0,35.1,46.8,4.3,11.0,39.0,1.9,6.2,31.4,0.44
Fred VanVleet,HOU,60.0,41.0,19.0,35.2,5.8,2.3,6.5,35.4,1.3,4.0,31.5,45.2,4.8,12.7,37.8,2.7,7.7,34.5,0.51
Nick Smith Jr.,CHA,60.0,14.0,46.0,22.8,3.5,1.6,3.9,39.6,0.4,1.3,32.5,45.1,3.7,9.5,39.1,1.7,5.1,34.0,0.41
Aaron Holiday,HOU,62.0,39.0,23.0,12.8,1.2,0.5,1.2,38.2,0.2,0.7,33.3,48.0,1.9,4.3,43.7,1.2,2.9,39.8,0.28
Gary Payton II,GSW,62.0,36.0,26.0,15.0,0.1,0.0,0.1,33.3,0.0,0.0,33.3,41.7,2.8,4.8,57.4,0.5,1.5,32.6,0.02
Collin Sexton,UTA,63.0,14.0,49.0,27.9,4.7,1.9,4.7,41.1,0.9,2.2,38.6,50.2,6.6,13.8,48.0,1.7,4.3,40.6,0.34
Terry Rozier,MIA,64.0,27.0,37.0,25.9,2.9,1.1,3.5,32.2,0.6,2.2,25.9,40.3,3.9,9.9,39.1,1.4,4.8,29.5,0.35
Cole Anthony,MEM,67.0,35.0,32.0,18.4,2.3,1.0,2.8,36.8,0.3,0.8,35.7,42.2,3.4,8.1,42.4,1.1,3.3,35.3,0.35
Mike Conley,MIN,71.0,44.0,27.0,24.7,2.8,1.0,2.9,33.5,0.8,2.1,37.8,46.9,2.6,6.6,40.0,1.8,4.4,41.0,0.44
Gabe Vincent,LAL,72.0,46.0,26.0,21.2,1.5,0.6,1.6,37.3,0.3,1.1,29.5,47.0,2.3,5.8,40.0,1.5,4.3,35.3,0.28
Coby White,CHI,74.0,35.0,39.0,33.1,5.1,1.9,5.1,37.9,1.2,3.4,34.5,49.2,6.9,15.1,45.3,2.9,7.9,37.0,0.34
Jamal Shead,TOR,75.0,28.0,47.0,19.6,1.3,0.5,1.9,29.3,0.2,0.8,24.2,34.6,2.7,6.7,40.5,1.0,3.0,32.3,0.28
Kevin Porter Jr.,MIL,75.0,43.0,32.0,19.8,4.2,1.9,4.5,41.8,0.5,1.4,32.4,46.9,3.9,8.7,44.9,0.7,2.4,31.1,0.52
Russell Westbrook,DEN,75.0,43.0,32.0,27.9,1.5,0.6,2.3,27.6,0.2,0.9,25.8,32.5,5.0,11.1,44.9,1.3,3.9,32.3,0.21
Trae Young,ATL,76.0,36.0,40.0,36.0,10.4,4.0,10.6,37.9,2.4,7.0,34.2,49.2,7.4,18.1,41.1,2.9,8.4,34.0,0.59
Tyus Jones,PHX,81.0,36.0,45.0,26.8,2.2,0.9,2.4,39.4,0.3,0.8,33.8,45.3,3.8,8.4,44.8,2.0,5.0,41.4,0.29
Chris Paul,SAS,82.0,34.0,48.0,28.0,5.4,2.1,5.1,42.4,1.1,2.9,37.0,52.9,3.0,7.1,42.7,1.7,4.5,37.7,0.72
