PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
Trae Young,ATL,76.0,12.3,47.5,0.94,11.5,3.6,8.8,41.7,50.8,12.5,17.9,10.2,1.7,40.3,70.9
Coby White,CHI,74.0,5.5,28.6,0.91,5.0,1.8,4.1,43.4,48.8,10.3,17.2,9.1,2.2,40.5,64.4
Collin Sexton,UTA,63.0,4.9,27.4,0.93,4.6,1.7,3.6,48.4,53.3,11.9,17.4,10.3,1.6,44.7,69.7
Fred VanVleet,HOU,60.0,5.5,36.4,0.87,4.7,1.7,4.6,37.5,45.1,6.4,9.8,5.5,0.6,37.2,53.1
Chris Paul,SAS,82.0,3.5,38.9,0.94,3.3,1.2,2.7,45.3,55.8,3.5,19.4,3.1,0.7,38.1,71.5
Tyus Jones,PHX,81.0,2.8,28.0,0.82,2.3,1.0,2.2,42.3,46.4,3.6,15.6,2.2,0.0,37.8,39.8
Jose Alvarado,NOP,56.0,3.9,34.2,0.81,3.1,1.1,2.9,38.2,45.2,8.3,17.5,7.8,1.8,35.0,36.9
Cole Anthony,ORL,67.0,3.4,32.6,0.74,2.5,1.0,2.5,37.9,40.5,8.8,18.5,7.9,1.8,34.8,24.6
Nick Smith Jr.,CHA,60.0,3.1,27.7,0.85,2.6,1.1,2.6,42.0,47.8,1.6,13.5,1.6,0.0,37.3,48.7
Russell Westbrook,DEN,75.0,3.2,20.2,0.64,2.0,0.8,1.9,40.6,43.7,9.3,32.1,8.4,1.7,30.0,11.0
D'Angelo Russell,BKN,29.0,5.9,40.1,0.88,5.2,1.6,4.3,36.5,44.8,13.5,15.3,12.4,2.9,37.1,57.1
Terry Rozier,MIA,64.0,3.0,25.2,0.78,2.3,0.9,2.5,37.3,41.6,4.2,11.5,3.7,0.0,35.1,31.2
Kevin Porter Jr.,MIL,30.0,4.6,41.5,1.06,4.9,1.7,3.3,51.5,56.6,13.7,18.0,13.7,2.9,47.5,91.4
Mike Conley,MIN,71.0,2.4,29.2,0.87,2.1,0.7,1.8,38.6,49.2,6.5,18.3,5.9,0.0,35.5,54.6
Jamal Shead,TOR,75.0,2.5,29.3,0.75,1.9,0.8,1.9,40.8,44.0,7.4,21.7,7.4,4.2,33.9,26.1
Kevin Porter Jr.,LAC,45.0,3.5,29.6,0.84,2.9,1.2,2.7,43.8,47.5,7.7,15.4,7.1,0.6,39.7,45.7
D'Angelo Russell,LAL,29.0,4.3,32.6,0.96,4.2,1.4,3.3,42.7,48.4,12.7,11.9,11.1,0.8,44.4,75.1
Ayo Dosunmu,CHI,46.0,2.3,19.1,1.06,2.4,1.0,1.8,57.8,59.6,7.6,16.2,7.6,2.9,50.5,91.1
K.J. Simpson,CHA,36.0,3.4,32.0,0.65,2.2,0.9,2.8,30.7,34.7,4.1,13.2,3.3,0.8,28.9,12.5
Aaron Holiday,HOU,62.0,1.2,22.4,1.04,1.2,0.5,0.9,51.9,61.1,6.9,18.1,4.2,0.0,45.8,89.0
Collin Gillespie,PHX,33.0,1.2,22.2,1.39,1.7,0.6,1.0,60.6,75.8,9.8,9.8,9.8,0.0,58.5,99.1
Brandon Williams,DAL,33.0,1.9,24.3,0.85,1.6,0.5,1.3,41.9,45.3,14.5,16.1,11.3,0.0,41.9,49.6
Gabe Vincent,LAL,72.0,1.0,15.9,0.71,0.7,0.3,0.9,32.8,39.1,4.0,12.0,2.7,1.3,30.7,18.4
Lonzo Ball,CHI,35.0,1.5,18.3,0.96,1.5,0.5,1.1,48.7,61.5,3.7,24.1,3.7,0.0,38.9,75.4
Jalen Pickett,DEN,49.0,0.8,19.9,1.2,1.0,0.4,0.7,55.6,68.1,0.0,12.2,0.0,0.0,48.8,98.2
Dante Exum,DAL,20.0,2.6,29.8,0.9,2.3,0.9,1.8,47.2,50.0,15.7,15.7,15.7,2.0,45.1,61.4
Marcus Smart,WAS,15.0,2.7,28.7,0.88,2.4,0.8,1.7,46.2,48.1,19.5,17.1,9.8,0.0,48.8,56.1
Kyle Lowry,PHI,35.0,0.8,17.5,0.59,0.5,0.1,0.5,22.2,22.2,18.5,14.8,18.5,0.0,33.3,7.1
Jordan Goodwin,LAL,29.0,0.7,10.6,0.68,0.4,0.2,0.5,42.9,46.4,0.0,26.3,0.0,0.0,31.6,15.7
Marcus Smart,MEM,19.0,0.9,9.0,0.5,0.5,0.2,0.6,33.3,37.5,0.0,33.3,0.0,0.0,22.2,3.9
