Player,Pos,Age,YOE,Prev Team,Prev AAV
Trae Young,PG,27.1,7,ATL,"$43,031,940"
Brandon Williams,PG,25.9,4,DAL,"$1,159,362"
Coby White,PG,25.8,7,CHI,"$12,000,000"
Russell Westbrook,PG,37.0,18,SAC,"$3,386,366"
Gabe Vincent,PG,29.4,7,LAL,"$11,000,000"
Fred VanVleet,PG,31.7,9,HOU,"$25,000,000"
Isaiah Stevens,PG,25.0,2,SAC,$0
Nick Smith Jr.,PG,21.5,3,LAL,$0
Marcus Smart,PG,31.7,11,LAL,"$5,262,350"
K.J. Simpson,PG,23.2,2,CHA,$0
Jamal Shead,PG,23.2,1,TOR,"$2,037,971"
Jamal Shead,PG,23.2,2,TOR,"$2,037,971"
Collin Sexton,PG,26.8,8,CHA,"$17,737,500"
D'Angelo Russell,PG,29.7,10,DAL,"$5,827,125"
Terry Rozier,PG,31.6,11,MIA,"$24,064,674"
Kevin Porter Jr.,PG,25.5,5,MIL,"$5,262,350"
Jalen Pickett,PG,26.0,2,DEN,"$2,056,971"
Gary Payton II,PG,32.9,10,GSW,"$3,303,774"
Chris Paul,PG,40.5,21,LAC,"$3,634,153"
Ryan Nembhard,PG,22.7,1,DAL,$0
Monte Morris,PG,30.3,9,IND,"$2,966,225"
Jordan McLaughlin,PG,29.6,7,SAS,"$2,874,436"
Kyle Lowry,PG,39.6,20,PHI,"$3,634,153"
Tyus Jones,PG,29.5,11,ORL,"$7,000,000"
Nah'Shon Hyland,PG,25.2,5,MIN,"$2,461,463"
Aaron Holiday,PG,29.1,8,HOU,"$4,784,700"
Elijah Harkless,PG,25.8,2,UTA,$0
Jordan Goodwin,PG,27.0,5,PHX,"$1,286,648"
Collin Gillespie,PG,26.3,4,PHX,"$2,378,870"
Dante Exum,PG,30.3,10,DAL,"$3,303,774"
Ayo Dosunmu,PG,25.8,5,CHI,"$7,000,000"
RayJ Dennis,PG,24.6,2,IND,$0
Egor Demin,PG,19.7,1,BKN,"$7,835,171"
J.D. Davison,PG,23.1,4,HOU,$0
Sharife Cooper,PG,24.4,3,WAS,$0
Mike Conley,PG,38.1,19,MIN,"$10,375,000"
Jevon Carter,PG,30.2,8,CHI,"$6,500,000"
Lonzo Ball,PG,28.0,8,CLE,"$10,000,000"
Cole Anthony,PG,25.5,6,MIL,"$2,667,947"
Jose Alvarado,PG,27.6,4,NOP,"$4,500,000"
