Name,Pos,Team,Age,Ovr,Pot,G,PTS,TRB,AST,Type,Games
Jayson Tatum,F,BOS,28,67,68,0,0,0,0,Torn Achilles,100
Kyrie Irving,PG,DAL,34,66,66,0,0,0,0,Torn ACL,80
Tyrese Haliburton,PG,IND,26,67,70,0,0,0,0,Torn Achilles,100
Fred VanVleet,PG,HOU,32,67,67,0,0,0,0,Torn ACL,120,0
Damian Lillard,PG,POR,35,68,68,0,0,0,0,Left Achilles Tear,100
Haywood Highsmith,SF,BKN,29,57,57,0,0,0,0,Torn Meniscus,30
Max Strus,GF,CLE,30,60,60,0,0,0,0,Jones Fracture,30
De'Anthony Melton,G,GSW,28,59,60,0,0,0,0,Torn ACL,30
Scotty Pippen Jr.,PG,MEM,25,58,60,0,0,0,0,Left Toe,30
Thomas Sorber,FC,OKC,20,38,66,0,0,0,0,Torn ACL,150
