Feature,Importance
Prev_PG_Team_PTS,0.0
Prev_PG_Opp_PTS,0.0
Prev_PG_Team_FG%,0.0
Prev_PG_Team_3P%,0.0
Prev_PG_Team_FT%,0.0
Prev_PG_Team_TRB,0.0
Prev_PG_Team_AST,0.0
Prev_PG_Team_STL,0.0
Prev_PG_Team_BLK,0.0
Prev_PG_Team_TOV,0.0
Prev_PG_Opp_FG%,0.0
Prev_PG_Opp_3P%,0.0
Prev_PG_Opp_TRB,0.0
Prev_PG_Opp_AST,0.0
Prev_PG_Opp_TOV,0.0
Prev_Adv_MOV,0.0
Prev_Adv_SOS,0.0
Prev_Adv_SRS,0.0
Prev_Adv_ORtg,0.0
Prev_Adv_DRtg,0.0
Prev_Adv_NRtg,0.0
Prev_Adv_Pace,0.0
Prev_Adv_TS%,0.0
Prev_Adv_FTr,0.0
Prev_Adv_3PAr,0.0
Prev_Adv_Offense Four Factors_eFG%,0.0
Prev_Adv_Offense Four Factors_TOV%,0.0
Prev_Adv_Offense Four Factors_ORB%,0.0
Prev_Adv_Offense Four Factors_FT/FGA,0.0
Prev_Adv_Defense Four Factors_eFG%,0.0
Prev_Adv_Defense Four Factors_TOV%,0.0
Prev_Adv_Defense Four Factors_DRB%,0.0
Prev_Adv_Defense Four Factors_FT/FGA,0.0
Avg2Y_Adv_W,0.0
Avg3Y_Adv_W,0.0
Avg2Y_Adv_ORtg,0.0
Avg3Y_Adv_ORtg,0.0
Avg2Y_Adv_DRtg,0.0
Avg3Y_Adv_DRtg,0.0
Avg2Y_Adv_NRtg,0.0
Avg3Y_Adv_NRtg,0.0
Avg2Y_Adv_MOV,0.0
Avg3Y_Adv_MOV,0.0
Avg2Y_Adv_SRS,0.0
Avg3Y_Adv_SRS,0.0
Avg2Y_PG_Team_PTS,0.0
Avg3Y_PG_Team_PTS,0.0
Avg2Y_PG_Opp_PTS,0.0
Avg3Y_PG_Opp_PTS,0.0
Avg2Y_Adv_TS%,0.0
Avg3Y_Adv_TS%,0.0
Prev_Wins,0.0
Win_Change_1Y,0.0
Win_Change_2Y,0.0
NetRtg_Trend,0.0
OffDef_Ratio,0.0
Prev_Point_Diff,0.0
Prev_eFG_Diff,0.0
Prev_TOV_Diff,0.0
Prev_Pythag_Wins,0.0
Prev_Luck_Factor,0.0
SRS_Trend,0.0
Is_Elite_Team,0.0
Is_Playoff_Team,0.0
Is_Bad_Team,0.0
Prev_Win_Pct,0.0
Weighted_Wins,0.0
NetRtg_Squared,0.0
