ENTRY,Season,Player,Age,Team(s),LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
1,2014-15,Andrew Bogut,30,GSW,4.13,1.55,-1.84,3.39
2,2014-15,Marvin Williams,28,CHO,1.6,-1.1,-1.68,0.58
3,2014-15,Chris Paul,29,LAC,13.71,4.9,4.9,0
4,2014-15,Charlie Villanueva,30,DAL,0.75,-0.63,1.05,-1.68
5,2014-15,Channing Frye,31,ORL,2.37,-0.4,-1.15,0.76
6,2014-15,Deron Williams,30,BRK,5.63,1.63,1.75,-0.11
7,2014-15,Danny Granger,31,MIA,0.04,-2.17,-1.33,-0.84
8,2014-15,Gerald Green,29,PHO,0.88,-1.36,0.6,-1.96
9,2014-15,Nate Robinson,30,DEN/LAC,0.35,-1.38,0.03,-1.4
10,2014-15,Jarrett Jack,31,BRK,-1.04,-2.95,-0.72,-2.23
11,2014-15,Jason Maxiell,31,CHO,0.09,-2.1,-2.55,0.44
12,2014-15,Ian Mahinmi,28,IND,2.09,0.41,-2.19,2.6
13,2014-15,David Lee,31,GSW,1.68,0.46,0.09,0.36
14,2014-15,Brandon Bass,29,BOS,2.51,-0.35,-0.06,-0.29
15,2014-15,CJ Miles,27,IND,3.83,0.78,0.67,0.12
16,2014-15,Ersan Ilyasova,27,MIL,2.55,0.57,0.22,0.35
17,2014-15,Monta Ellis,29,DAL,3.27,-0.48,0.43,-0.91
18,2014-15,Lou Williams,28,TOR,5.71,1.88,3.29,-1.41
19,2014-15,Amir Johnson,27,TOR,2.17,-0.65,-0.13,-0.52
20,2014-15,Marcin Gortat,30,WAS,6.87,1.84,-0.32,2.16
21,2014-15,Ronnie Price,31,LAL,1.42,-0.14,-0.95,0.8
22,2014-15,Jose Calderon,33,NYK,0.28,-1.93,-0.7,-1.24
23,2014-15,Alan Anderson,32,BRK,1.73,-0.8,-0.74,-0.06
24,2014-15,Tim Duncan,38,SAS,8.68,3.49,0.84,2.65
25,2014-15,Vince Carter,38,MEM,1.46,-0.29,-0.4,0.11
26,2014-15,Dirk Nowitzki,36,DAL,7.21,2.37,1.79,0.58
27,2014-15,Paul Pierce,37,WAS,5,1.57,0.71,0.86
28,2014-15,Andre Miller,38,WAS/SAC,1.54,-0.45,0.2,-0.64
29,2014-15,Shawn Marion,36,CLE,0.79,-1.19,-1.51,0.32
30,2014-15,Jason Terry,37,HOU,1.42,-0.99,-0.32,-0.66
31,2014-15,Manu Ginobili,37,SAS,5.19,2.54,1.34,1.19
32,2014-15,Andrea Bargnani,29,NYK,0.2,-1.88,-0.51,-1.36
33,2014-15,LaMarcus Aldridge,29,POR,8.98,2.99,2.19,0.8
34,2014-15,Randy Foye,31,DEN,1.05,-0.84,0.44,-1.28
35,2014-15,Rudy Gay,28,SAC,4.83,0.68,1.47,-0.79
