Season,Player,Tm,MP,WS/48,BPM,VORP
2014-15,A.J. Price,3TM,324.0,0.041,-1.4,0.0
2014-15,Aaron Brooks,CHI,1885.0,0.083,-0.8,0.5
2014-15,Aaron Gordon,ORL,797.0,0.06,-2.7,-0.2
2014-15,Adreian Payne,2TM,739.0,-0.033,-6.9,-0.9
2014-15,Al Horford,ATL,2318.0,0.179,4.1,3.6
2014-15,Al Jefferson,CHO,1992.0,0.113,1.6,1.8
2014-15,Al-Farouq Aminu,DAL,1366.0,0.115,0.7,1.0
2014-15,Alan Anderson,BRK,1744.0,0.075,-1.5,0.2
2014-15,Alec Burks,UTA,899.0,0.089,-1.7,0.1
2014-15,Alex Kirk,CLE,14.0,0.061,-6.0,0.0
2014-15,Alex Len,PHO,1518.0,0.107,-1.8,0.1
2014-15,Alexey Shved,3TM,767.0,0.135,2.9,0.9
2014-15,Alexis Ajinça,NOP,957.0,0.159,-0.3,0.4
2014-15,Allen Crabbe,POR,683.0,0.088,-0.8,0.2
2014-15,Alonzo Gee,2TM,662.0,0.086,-0.6,0.2
2014-15,Amar'e Stoudemire,2TM,1245.0,0.138,0.1,0.7
2014-15,Amir Johnson,TOR,1979.0,0.124,-0.1,0.9
2014-15,Anderson Varejão,CLE,636.0,0.145,0.6,0.4
2014-15,Andre Dawkins,MIA,22.0,-0.172,-12.8,-0.1
2014-15,Andre Drummond,DET,2502.0,0.147,-0.1,1.2
2014-15,Andre Iguodala,GSW,2069.0,0.117,0.9,1.5
2014-15,Andre Miller,2TM,1253.0,0.084,-2.1,0.0
2014-15,Andre Roberson,OKC,1286.0,0.079,-0.7,0.4
2014-15,Andrea Bargnani,NYK,785.0,0.058,-1.1,0.2
2014-15,Andrei Kirilenko,BRK,36.0,-0.058,-5.7,0.0
2014-15,Andrew Bogut,GSW,1583.0,0.159,2.4,1.8
2014-15,Andrew Nicholson,ORL,492.0,0.007,-4.9,-0.4
2014-15,Andrew Wiggins,MIN,2969.0,0.034,-2.4,-0.3
2014-15,Anthony Bennett,MIN,894.0,0.017,-3.9,-0.4
2014-15,Anthony Davis,NOP,2455.0,0.274,8.9,6.7
2014-15,Anthony Morrow,OKC,1806.0,0.151,1.8,1.7
2014-15,Anthony Tolliver,2TM,1432.0,0.092,-1.4,0.2
2014-15,Archie Goodwin,PHO,535.0,0.014,-3.4,-0.2
2014-15,Arinze Onuaku,MIN,68.0,0.197,1.4,0.1
2014-15,Aron Baynes,SAS,1122.0,0.166,-1.8,0.1
2014-15,Arron Afflalo,2TM,2502.0,0.05,-2.5,-0.3
2014-15,Austin Daye,2TM,344.0,-0.001,-4.2,-0.2
2014-15,Austin Rivers,2TM,1563.0,0.046,-2.8,-0.3
2014-15,Avery Bradley,BOS,2428.0,0.049,-2.2,-0.1
2014-15,Ben Gordon,ORL,790.0,0.015,-4.2,-0.4
2014-15,Ben McLemore,SAC,2670.0,0.045,-2.2,-0.2
2014-15,Beno Udrih,MEM,1494.0,0.115,0.5,0.9
2014-15,Bernard James,DAL,158.0,0.165,0.8,0.1
2014-15,Bismack Biyombo,CHO,1243.0,0.156,-1.1,0.3
2014-15,Blake Griffin,LAC,2356.0,0.183,4.0,3.6
2014-15,Bojan Bogdanović,BRK,1854.0,0.062,-1.7,0.1
2014-15,Boris Diaw,SAS,1984.0,0.088,-0.4,0.8
2014-15,Bradley Beal,WAS,2107.0,0.085,0.1,1.1
2014-15,Brandan Wright,3TM,1449.0,0.202,3.7,2.1
2014-15,Brandon Bass,BOS,1929.0,0.132,0.0,1.0
2014-15,Brandon Davies,2TM,423.0,0.028,-4.5,-0.3
2014-15,Brandon Jennings,DET,1173.0,0.136,3.3,1.6
2014-15,Brandon Knight,2TM,2035.0,0.106,1.6,1.9
2014-15,Brandon Rush,GSW,271.0,-0.056,-7.3,-0.4
2014-15,Brendan Haywood,CLE,119.0,0.008,-6.3,-0.1
2014-15,Brian Roberts,CHO,1330.0,0.064,-1.7,0.1
2014-15,Brook Lopez,BRK,2100.0,0.159,1.2,1.6
2014-15,Bruno Caboclo,TOR,23.0,-0.275,-18.2,-0.1
2014-15,Bryce Cotton,UTA,159.0,0.067,-2.2,0.0
2014-15,C.J. Miles,IND,1841.0,0.093,0.9,1.3
2014-15,C.J. Watson,IND,1422.0,0.135,1.3,1.2
2014-15,C.J. Wilcox,LAC,101.0,-0.024,-4.9,-0.1
2014-15,CJ McCollum,POR,973.0,0.089,-0.6,0.4
2014-15,Cameron Bairstow,CHI,64.0,-0.048,-9.0,-0.1
2014-15,Carl Landry,SAC,1192.0,0.112,-2.3,-0.1
2014-15,Carlos Boozer,LAL,1692.0,0.062,-1.7,0.1
2014-15,Carmelo Anthony,NYK,1428.0,0.097,3.0,1.8
2014-15,Caron Butler,DET,1623.0,0.07,-1.7,0.1
2014-15,Cartier Martin,DET,198.0,-0.053,-7.2,-0.3
2014-15,Chandler Parsons,DAL,2186.0,0.121,1.6,2.0
2014-15,Channing Frye,ORL,1870.0,0.053,-1.5,0.2
2014-15,Charlie Villanueva,DAL,678.0,0.096,1.5,0.6
2014-15,Chase Budinger,MIN,1286.0,0.049,-1.8,0.0
2014-15,Chris Andersen,MIA,1132.0,0.151,1.1,0.9
2014-15,Chris Bosh,MIA,1556.0,0.111,1.3,1.3
2014-15,Chris Copeland,IND,828.0,-0.008,-3.7,-0.4
2014-15,Chris Douglas-Roberts,LAC,103.0,0.02,-6.8,-0.1
2014-15,Chris Johnson,3TM,526.0,0.074,-1.7,0.0
2014-15,Chris Kaman,POR,1398.0,0.112,-0.8,0.4
2014-15,Chris Paul,LAC,2857.0,0.27,8.0,7.2
2014-15,Chuck Hayes,TOR,255.0,0.091,-1.0,0.1
2014-15,Cleanthony Early,NYK,647.0,-0.03,-5.2,-0.5
2014-15,Clint Capela,HOU,90.0,0.019,-5.4,-0.1
2014-15,Cody Zeller,CHO,1487.0,0.123,-0.6,0.5
2014-15,Cole Aldrich,NYK,976.0,0.107,0.3,0.6
2014-15,Corey Brewer,2TM,2087.0,0.071,-1.0,0.5
2014-15,Cory Jefferson,BRK,531.0,0.071,-3.0,-0.1
2014-15,Cory Joseph,SAS,1444.0,0.149,1.4,1.2
2014-15,Courtney Lee,MEM,2354.0,0.099,-0.5,0.9
2014-15,D.J. Augustin,2TM,1964.0,0.083,-1.2,0.4
2014-15,Dahntay Jones,LAC,123.0,0.013,-8.3,-0.2
2014-15,Damian Lillard,POR,2925.0,0.174,4.7,4.9
2014-15,Damjan Rudež,IND,1047.0,0.061,-2.3,-0.1
2014-15,Danilo Gallinari,DEN,1426.0,0.132,2.4,1.6
2014-15,Danny Granger,MIA,613.0,0.046,-3.9,-0.3
2014-15,Danny Green,SAS,2312.0,0.163,4.6,3.8
