Season,Team,Head_Coach,Coaching_Change
2019-20,Atlanta Hawks,,0
2019-20,Boston Celtics,,0
2019-20,Brooklyn Nets,,0
2019-20,Charlotte Hornets,,0
2019-20,Chicago Bulls,,0
2019-20,Cleveland Cavaliers,,0
2019-20,Dallas Mavericks,,0
2019-20,Denver Nuggets,,0
2019-20,Detroit Pistons,,0
2019-20,Golden State Warriors,,0
2019-20,Houston Rockets,,0
2019-20,Indiana Pacers,,0
2019-20,Los Angeles Clippers,,0
2019-20,Los Angeles Lakers,,0
2019-20,Memphis Grizzlies,,0
2019-20,Miami Heat,,0
2019-20,Milwaukee Bucks,,0
2019-20,Minnesota Timberwolves,,0
2019-20,New Orleans Pelicans,,0
2019-20,New York Knicks,,0
2019-20,Oklahoma City Thunder,,0
2019-20,Orlando Magic,,0
2019-20,Philadelphia 76ers,,0
2019-20,Phoenix Suns,,0
2019-20,Portland Trail Blazers,,0
2019-20,Sacramento Kings,,0
2019-20,San Antonio Spurs,,0
2019-20,Toronto Raptors,,0
2019-20,Utah Jazz,,0
2019-20,Washington Wizards,,0
2020-21,Atlanta Hawks,,0
2020-21,Boston Celtics,,0
2020-21,Brooklyn Nets,,0
2020-21,Charlotte Hornets,,0
2020-21,Chicago Bulls,,0
2020-21,Cleveland Cavaliers,,0
2020-21,Dallas Mavericks,,0
2020-21,Denver Nuggets,,0
2020-21,Detroit Pistons,,0
2020-21,Golden State Warriors,,0
2020-21,Houston Rockets,,0
2020-21,Indiana Pacers,,0
2020-21,Los Angeles Clippers,,0
2020-21,Los Angeles Lakers,,0
2020-21,Memphis Grizzlies,,0
2020-21,Miami Heat,,0
2020-21,Milwaukee Bucks,,0
2020-21,Minnesota Timberwolves,,0
2020-21,New Orleans Pelicans,,0
2020-21,New York Knicks,,0
2020-21,Oklahoma City Thunder,,0
2020-21,Orlando Magic,,0
2020-21,Philadelphia 76ers,,0
2020-21,Phoenix Suns,,0
2020-21,Portland Trail Blazers,,0
2020-21,Sacramento Kings,,0
2020-21,San Antonio Spurs,,0
2020-21,Toronto Raptors,,0
2020-21,Utah Jazz,,0
2020-21,Washington Wizards,,0
2021-22,Atlanta Hawks,,0
2021-22,Boston Celtics,,0
2021-22,Brooklyn Nets,,0
2021-22,Charlotte Hornets,,0
2021-22,Chicago Bulls,,0
2021-22,Cleveland Cavaliers,,0
2021-22,Dallas Mavericks,,0
2021-22,Denver Nuggets,,0
2021-22,Detroit Pistons,,0
2021-22,Golden State Warriors,,0
2021-22,Houston Rockets,,0
2021-22,Indiana Pacers,,0
2021-22,Los Angeles Clippers,,0
2021-22,Los Angeles Lakers,,0
2021-22,Memphis Grizzlies,,0
2021-22,Miami Heat,,0
2021-22,Milwaukee Bucks,,0
2021-22,Minnesota Timberwolves,,0
2021-22,New Orleans Pelicans,,0
2021-22,New York Knicks,,0
2021-22,Oklahoma City Thunder,,0
2021-22,Orlando Magic,,0
2021-22,Philadelphia 76ers,,0
2021-22,Phoenix Suns,,0
2021-22,Portland Trail Blazers,,0
2021-22,Sacramento Kings,,0
2021-22,San Antonio Spurs,,0
2021-22,Toronto Raptors,,0
2021-22,Utah Jazz,,0
2021-22,Washington Wizards,,0
2022-23,Atlanta Hawks,,0
2022-23,Boston Celtics,,0
2022-23,Brooklyn Nets,,0
2022-23,Charlotte Hornets,,0
2022-23,Chicago Bulls,,0
2022-23,Cleveland Cavaliers,,0
2022-23,Dallas Mavericks,,0
2022-23,Denver Nuggets,,0
2022-23,Detroit Pistons,,0
2022-23,Golden State Warriors,,0
2022-23,Houston Rockets,,0
2022-23,Indiana Pacers,,0
2022-23,Los Angeles Clippers,,0
2022-23,Los Angeles Lakers,,0
2022-23,Memphis Grizzlies,,0
2022-23,Miami Heat,,0
2022-23,Milwaukee Bucks,,0
2022-23,Minnesota Timberwolves,,0
2022-23,New Orleans Pelicans,,0
2022-23,New York Knicks,,0
2022-23,Oklahoma City Thunder,,0
