Season,Team,Odds,Unnamed: 2,W-L O/U,Result
2017-18,Golden State Warriors,-187,,67.5,58-24 (under)
2017-18,Cleveland Cavaliers,515,,53.5,50-32 (under)
2017-18,Boston Celtics,1200,,53.5,55-27 (over)
2017-18,San Antonio Spurs,1800,,55.0,47-35 (under)
2017-18,Oklahoma City Thunder,2150,,53.5,48-34 (under)
2017-18,Houston Rockets,2150,,55.5,65-17 (over)
2017-18,Minnesota Timberwolves,5000,,48.5,47-35 (under)
2017-18,Milwaukee Bucks,8000,,47.5,44-38 (under)
2017-18,Washington Wizards,9000,,48.5,43-39 (under)
2017-18,Toronto Raptors,15000,,48.5,59-23 (over)
2017-18,Los Angeles Clippers,19000,,43.5,42-40 (under)
2017-18,Philadelphia 76ers,19000,,39.5,52-30 (over)
2017-18,Denver Nuggets,20000,,45.5,46-36 (over)
2017-18,New Orleans Pelicans,22000,,39.5,48-34 (over)
2017-18,Miami Heat,24000,,43.5,44-38 (over)
2017-18,Utah Jazz,25000,,40.5,48-34 (over)
2017-18,Los Angeles Lakers,30000,,33.5,35-47 (over)
2017-18,Portland Trail Blazers,31500,,42.5,49-33 (over)
2017-18,Memphis Grizzlies,37000,,37.5,22-60 (under)
2017-18,Dallas Mavericks,50000,,35.5,24-58 (under)
2017-18,Charlotte Hornets,50000,,42.5,36-46 (under)
2017-18,Detroit Pistons,63000,,38.5,39-43 (over)
2017-18,New York Knicks,100000,,30.5,29-53 (under)
2017-18,Phoenix Suns,125000,,28.5,21-61 (under)
2017-18,Sacramento Kings,125000,,27.5,27-55 (under)
2017-18,Indiana Pacers,125000,,31.5,48-34 (over)
2017-18,Atlanta Hawks,200000,,25.5,24-58 (under)
2017-18,Orlando Magic,250000,,33.5,25-57 (under)
2017-18,Brooklyn Nets,250000,,27.5,28-54 (over)
2017-18,Chicago Bulls,250000,,22.0,27-55 (over)
2018-19,Golden State Warriors,-168,,62.5,57-25 (under)
2018-19,Boston Celtics,620,,59.0,49-33 (under)
2018-19,Houston Rockets,1000,,56.5,53-29 (under)
2018-19,Los Angeles Lakers,1800,,48.5,37-45 (under)
2018-19,Toronto Raptors,1850,,55.5,58-24 (over)
2018-19,Philadelphia 76ers,2000,,53.5,51-31 (under)
2018-19,Oklahoma City Thunder,3800,,48.5,49-33 (over)
2018-19,Utah Jazz,10000,,49.5,50-32 (over)
2018-19,San Antonio Spurs,10000,,43.5,48-34 (over)
2018-19,New Orleans Pelicans,10000,,45.5,33-49 (under)
2018-19,Milwaukee Bucks,10000,,48.0,60-22 (over)
2018-19,Washington Wizards,11000,,45.5,32-50 (under)
2018-19,Indiana Pacers,12500,,47.5,48-34 (over)
2018-19,Denver Nuggets,20000,,47.5,54-28 (over)
2018-19,Minnesota Timberwolves,25000,,41.5,36-46 (under)
2018-19,Portland Trail Blazers,30000,,42.0,53-29 (over)
2018-19,Miami Heat,35000,,43.0,39-43 (under)
2018-19,Detroit Pistons,35000,,38.5,41-41 (over)
2018-19,New York Knicks,35000,,28.5,17-65 (under)
2018-19,Dallas Mavericks,35000,,35.5,33-49 (under)
2018-19,Los Angeles Clippers,40000,,37.0,48-34 (over)
2018-19,Cleveland Cavaliers,50000,,30.5,19-63 (under)
2018-19,Chicago Bulls,50000,,30.0,22-60 (under)
2018-19,Charlotte Hornets,50000,,35.5,39-43 (over)
2018-19,Memphis Grizzlies,65000,,34.5,33-49 (under)
2018-19,Orlando Magic,75000,,31.0,42-40 (over)
2018-19,Phoenix Suns,75000,,29.0,19-63 (under)
2018-19,Brooklyn Nets,125000,,32.0,42-40 (over)
2018-19,Atlanta Hawks,150000,,23.5,29-53 (over)
2018-19,Sacramento Kings,200000,,26.0,39-43 (over)
2019-20,Los Angeles Clippers,425,,53.5,49-23 (under)
2019-20,Los Angeles Lakers,450,,50.5,52-19 (over)
2019-20,Milwaukee Bucks,550,,57.5,56-17 (under)
2019-20,Houston Rockets,700,,54.0,44-28 (under)
2019-20,Philadelphia 76ers,775,,54.5,43-30 (under)
2019-20,Golden State Warriors,950,,47.5,15-50 (under)
2019-20,Utah Jazz,1300,,53.5,44-28 (under)
2019-20,Denver Nuggets,2000,,53.0,46-27 (under)
2019-20,Boston Celtics,2900,,48.5,48-24 (under)
2019-20,Portland Trail Blazers,3500,,46.5,35-39 (under)
2019-20,Indiana Pacers,5000,,46.5,45-28 (under)
2019-20,Brooklyn Nets,5500,,43.5,35-37 (under)
2019-20,Toronto Raptors,5500,,46.5,53-19 (over)
2019-20,Miami Heat,6000,,43.5,44-29 (over)
2019-20,San Antonio Spurs,6000,,46.5,32-39 (under)
2019-20,Dallas Mavericks,10500,,40.5,43-32 (over)
2019-20,New Orleans Pelicans,12500,,37.5,30-42 (under)
2019-20,Sacramento Kings,15000,,37.5,31-41 (under)
2019-20,Orlando Magic,20000,,41.5,33-40 (under)
2019-20,Atlanta Hawks,25000,,33.5,20-47 (under)
2019-20,Oklahoma City Thunder,25000,,32.5,44-28 (over)
2019-20,Detroit Pistons,25000,,37.5,20-46 (under)
2019-20,Chicago Bulls,42500,,33.5,22-43 (under)
2019-20,Minnesota Timberwolves,50000,,35.5,19-45 (under)
2019-20,Phoenix Suns,50000,,29.5,34-39 (over)
2019-20,Memphis Grizzlies,100000,,27.5,34-39 (over)
2019-20,New York Knicks,100000,,26.5,21-45 (under)
2019-20,Washington Wizards,125000,,27.0,25-47 (under)
2019-20,Cleveland Cavaliers,150000,,24.5,19-46 (under)
2019-20,Charlotte Hornets,200000,,23.5,23-42 (under)
2020-21,Los Angeles Lakers,275,,47.5,42-30 (under)
2020-21,Milwaukee Bucks,550,,49.5,46-26 (under)
2020-21,Brooklyn Nets,600,,45.5,48-24 (over)
2020-21,Los Angeles Clippers,650,,46.5,47-25 (over)
2020-21,Boston Celtics,1400,,44.5,36-36 (under)
2020-21,Miami Heat,1800,,43.5,40-32 (under)
2020-21,Denver Nuggets,1800,,44.5,47-25 (over)
2020-21,Philadelphia 76ers,2000,,43.5,49-23 (over)
2020-21,Dallas Mavericks,2500,,42.5,42-30 (under)
2020-21,Golden State Warriors,2500,,37.5,39-33 (over)
2020-21,Toronto Raptors,3000,,42.5,27-45 (under)
2020-21,Utah Jazz,4000,,41.5,52-20 (over)
2020-21,Portland Trail Blazers,4000,,40.5,42-30 (over)
2020-21,Phoenix Suns,4000,,38.5,51-21 (over)
2020-21,Houston Rockets,5000,,34.5,17-55 (under)
2020-21,New Orleans Pelicans,6500,,36.5,31-41 (under)
2020-21,Washington Wizards,10000,,32.5,34-38 (over)
2020-21,Atlanta Hawks,10000,,34.5,41-31 (over)
2020-21,Indiana Pacers,10000,,38.5,34-38 (under)
2020-21,Memphis Grizzlies,15000,,31.5,38-34 (over)
2020-21,Minnesota Timberwolves,20000,,29.5,23-49 (under)
2020-21,Oklahoma City Thunder,20000,,22.5,22-50 (under)
2020-21,Orlando Magic,20000,,31.5,21-51 (under)
2020-21,Chicago Bulls,25000,,29.5,31-41 (over)
2020-21,Charlotte Hornets,25000,,26.5,33-39 (over)
2020-21,Sacramento Kings,25000,,28.5,31-41 (over)
2020-21,San Antonio Spurs,25000,,28.5,33-39 (over)
2020-21,New York Knicks,50000,,21.5,41-31 (over)
2020-21,Cleveland Cavaliers,50000,,22.5,22-50 (under)
2020-21,Detroit Pistons,50000,,23.5,20-52 (under)
2021-22,Brooklyn Nets,240,,56.5,44-38 (under)
2021-22,Los Angeles Lakers,400,,52.5,33-49 (under)
2021-22,Milwaukee Bucks,900,,54.5,51-31 (under)
2021-22,Golden State Warriors,900,,48.5,53-29 (over)
2021-22,Phoenix Suns,1500,,51.5,64-18 (over)
2021-22,Utah Jazz,1600,,52.5,49-33 (under)
2021-22,Philadelphia 76ers,1600,,50.5,51-31 (over)
2021-22,Los Angeles Clippers,1600,,45.5,42-40 (under)
2021-22,Denver Nuggets,2200,,47.5,48-34 (over)
2021-22,Miami Heat,2500,,48.5,53-29 (over)
2021-22,Dallas Mavericks,3000,,48.5,52-30 (over)
2021-22,Atlanta Hawks,3500,,47.5,43-39 (under)
2021-22,Boston Celtics,4000,,45.5,51-31 (over)
2021-22,Portland Trail Blazers,5000,,44.5,27-55 (under)
2021-22,Chicago Bulls,6600,,42.5,46-36 (over)
2021-22,New York Knicks,8000,,41.5,37-45 (under)
2021-22,Memphis Grizzlies,10000,,41.5,56-26 (over)
2021-22,Indiana Pacers,10000,,42.5,25-57 (under)
2021-22,New Orleans Pelicans,10000,,39.5,36-46 (under)
2021-22,Charlotte Hornets,10000,,38.5,43-39 (over)
2021-22,Washington Wizards,15000,,33.5,35-47 (over)
2021-22,Toronto Raptors,15000,,35.5,48-34 (over)
2021-22,Sacramento Kings,25000,,36.5,30-52 (under)
2021-22,Minnesota Timberwolves,25000,,35.5,46-36 (over)
2021-22,San Antonio Spurs,30000,,28.5,34-48 (over)
2021-22,Cleveland Cavaliers,50000,,26.5,44-38 (over)
2021-22,Orlando Magic,50000,,22.5,22-60 (under)
2021-22,Oklahoma City Thunder,50000,,23.5,24-58 (over)
2021-22,Detroit Pistons,50000,,24.5,23-59 (under)
2021-22,Houston Rockets,50000,,27.5,20-62 (under)
2022-23,Boston Celtics,500,,54.5,57-25 (over)
2022-23,Golden State Warriors,600,,52.5,44-38 (under)
2022-23,Milwaukee Bucks,650,,53.5,58-24 (over)
2022-23,Brooklyn Nets,700,,50.5,45-37 (under)
2022-23,Los Angeles Clippers,700,,52.5,44-38 (under)
2022-23,Phoenix Suns,1000,,52.5,45-37 (under)
2022-23,Philadelphia 76ers,1400,,50.5,54-28 (over)
2022-23,Miami Heat,1600,,49.5,44-38 (under)
2022-23,Denver Nuggets,1800,,51.5,53-29 (over)
2022-23,Los Angeles Lakers,1800,,44.5,43-39 (under)
2022-23,Memphis Grizzlies,2000,,49.5,51-31 (over)
2022-23,Dallas Mavericks,2500,,48.5,38-44 (under)
2022-23,Minnesota Timberwolves,2800,,49.5,42-40 (under)
2022-23,Cleveland Cavaliers,3000,,46.5,51-31 (over)
2022-23,Toronto Raptors,4000,,46.5,41-41 (under)
2022-23,Chicago Bulls,4000,,41.5,40-42 (under)
2022-23,New Orleans Pelicans,4000,,45.5,42-40 (under)
2022-23,Atlanta Hawks,5000,,46.5,41-41 (under)
2022-23,New York Knicks,6600,,38.5,47-35 (over)
2022-23,Portland Trail Blazers,8000,,39.5,33-49 (under)
2022-23,Charlotte Hornets,15000,,34.5,27-55 (under)
2022-23,Washington Wizards,25000,,35.5,35-47 (under)
2022-23,Detroit Pistons,50000,,29.5,17-65 (under)
2022-23,Oklahoma City Thunder,50000,,23.5,40-42 (over)
2022-23,Orlando Magic,50000,,26.5,34-48 (over)
2022-23,Indiana Pacers,50000,,24.5,35-47 (over)
2022-23,Sacramento Kings,50000,,34.5,48-34 (over)
2022-23,San Antonio Spurs,50000,,22.5,22-60 (under)
2022-23,Houston Rockets,50000,,23.5,22-60 (under)
2022-23,Utah Jazz,50000,,23.5,37-45 (over)
2023-24,Boston Celtics,450,,54.5,64-18 (over)
2023-24,Denver Nuggets,450,,52.5,57-25 (over)
2023-24,Phoenix Suns,600,,51.5,49-33 (under)
2023-24,Milwaukee Bucks,600,,54.5,49-33 (under)
2023-24,Golden State Warriors,1200,,48.5,46-36 (under)
2023-24,Los Angeles Lakers,1500,,47.5,47-35 (under)
2023-24,Miami Heat,1600,,45.5,46-36 (over)
2023-24,Philadelphia 76ers,1800,,48.5,47-35 (under)
2023-24,Los Angeles Clippers,2200,,46.5,51-31 (over)
2023-24,Memphis Grizzlies,2200,,45.5,27-55 (under)
2023-24,Dallas Mavericks,2500,,45.5,50-32 (over)
2023-24,Cleveland Cavaliers,2500,,50.5,48-34 (under)
2023-24,Sacramento Kings,3500,,44.5,46-36 (over)
2023-24,New Orleans Pelicans,4000,,44.5,49-33 (over)
2023-24,New York Knicks,5000,,45.5,50-32 (over)
2023-24,Minnesota Timberwolves,6600,,44.5,56-26 (over)
2023-24,Atlanta Hawks,8000,,42.5,36-46 (under)
2023-24,Toronto Raptors,8000,,36.5,25-57 (under)
2023-24,Oklahoma City Thunder,10000,,44.5,57-25 (over)
2023-24,Chicago Bulls,12500,,37.5,39-43 (over)
2023-24,Brooklyn Nets,12500,,37.5,32-50 (under)
2023-24,Portland Trail Blazers,12500,,28.5,21-61 (under)
2023-24,San Antonio Spurs,15000,,28.5,22-60 (under)
2023-24,Utah Jazz,25000,,35.5,31-51 (under)
