Season,Team,Returning_Minutes_Pct,Star_Weighted_Continuity,New_Players_Count,Total_Prev_Minutes
2015-16,Atlanta Hawks,82.17,82.5,7,13939.0
2015-16,Boston Celtics,81.6,81.65,9,13745.0
2015-16,Brooklyn Nets,17.08,17.22,14,12298.0
2015-16,Charlotte Hornets,71.75,72.41,9,12851.0
2015-16,Chicago Bulls,100.0,100.0,6,15842.0
2015-16,Cleveland Cavaliers,85.84,87.44,9,12369.0
2015-16,Dallas Mavericks,49.74,50.38,10,15110.0
2015-16,Denver Nuggets,42.33,42.16,9,13237.0
2015-16,Detroit Pistons,67.42,66.51,9,10994.0
2015-16,Golden State Warriors,93.27,93.96,8,14504.0
2015-16,Houston Rockets,94.02,94.51,8,14282.0
2015-16,Indiana Pacers,59.13,58.91,9,12174.0
2015-16,Los Angeles Clippers,80.02,81.59,9,15177.0
2015-16,Los Angeles Lakers,36.07,36.06,12,10210.0
2015-16,Memphis Grizzlies,66.09,68.18,10,13411.0
2015-16,Miami Heat,69.54,70.54,6,11489.0
2015-16,Milwaukee Bucks,51.59,52.62,12,11916.0
2015-16,Minnesota Timberwolves,92.43,92.62,10,4940.0
2015-16,New Orleans Pelicans,98.06,98.2,9,13339.0
2015-16,New York Knicks,44.07,44.8,12,9428.0
2015-16,Oklahoma City Thunder,94.69,95.05,7,11928.0
2015-16,Orlando Magic,63.06,63.64,8,13707.0
2015-16,Philadelphia 76ers,78.19,78.52,11,6602.0
2015-16,Phoenix Suns,51.74,52.85,11,12952.0
2015-16,Portland Trail Blazers,36.67,36.81,11,14442.0
2015-16,Sacramento Kings,69.37,71.3,11,8632.0
2015-16,San Antonio Spurs,81.56,82.31,8,13418.0
2015-16,Toronto Raptors,66.73,67.26,10,15189.0
2015-16,Utah Jazz,96.39,96.67,9,11782.0
2015-16,Washington Wizards,77.55,77.98,8,14516.0
2016-17,Atlanta Hawks,55.95,56.06,10,16542.0
2016-17,Boston Celtics,74.69,75.44,9,16536.0
2016-17,Brooklyn Nets,34.61,35.6,12,8875.0
2016-17,Charlotte Hornets,79.75,80.62,8,15524.0
2016-17,Chicago Bulls,42.24,42.89,10,10514.0
2016-17,Cleveland Cavaliers,87.62,88.42,7,15077.0
2016-17,Dallas Mavericks,52.62,53.13,12,13836.0
2016-17,Denver Nuggets,95.45,95.65,8,12014.0
2016-17,Detroit Pistons,89.61,90.03,9,13834.0
2016-17,Golden State Warriors,72.83,75.36,10,15689.0
2016-17,Houston Rockets,78.9,79.36,7,12524.0
2016-17,Indiana Pacers,62.35,62.51,10,13828.0
2016-17,Los Angeles Clippers,90.9,91.56,10,10947.0
2016-17,Los Angeles Lakers,28.5,28.36,11,8254.0
2016-17,Memphis Grizzlies,81.81,82.08,8,12041.0
2016-17,Miami Heat,50.42,50.07,10,14507.0
2016-17,Milwaukee Bucks,75.97,77.54,11,11780.0
2016-17,Minnesota Timberwolves,93.97,94.19,8,12411.0
2016-17,New Orleans Pelicans,40.71,42.95,11,9813.0
2016-17,New York Knicks,40.9,42.76,11,13058.0
2016-17,Oklahoma City Thunder,58.35,58.29,7,13869.0
2016-17,Orlando Magic,65.61,65.99,12,13125.0
2016-17,Philadelphia 76ers,45.87,46.52,12,9181.0
2016-17,Phoenix Suns,51.53,51.96,12,11307.0
2016-17,Portland Trail Blazers,75.49,76.2,8,14489.0
2016-17,Sacramento Kings,49.84,48.94,9,15031.0
2016-17,San Antonio Spurs,73.59,74.57,11,13058.0
