Season,Team,PG_Team_G,PG_Team_MP,PG_Team_FG,PG_Team_FGA,PG_Team_FG%,PG_Team_3P,PG_Team_3PA,PG_Team_3P%,PG_Team_2P,PG_Team_2PA,PG_Team_2P%,PG_Team_FT,PG_Team_FTA,PG_Team_FT%,PG_Team_ORB,PG_Team_DRB,PG_Team_TRB,PG_Team_AST,PG_Team_STL,PG_Team_BLK,PG_Team_TOV,PG_Team_PF,PG_Team_PTS,PG_Opp_G,PG_Opp_MP,PG_Opp_FG,PG_Opp_FGA,PG_Opp_FG%,PG_Opp_3P,PG_Opp_3PA,PG_Opp_3P%,PG_Opp_2P,PG_Opp_2PA,PG_Opp_2P%,PG_Opp_FT,PG_Opp_FTA,PG_Opp_FT%,PG_Opp_ORB,PG_Opp_DRB,PG_Opp_TRB,PG_Opp_AST,PG_Opp_STL,PG_Opp_BLK,PG_Opp_TOV,PG_Opp_PF,PG_Opp_PTS,Tot_Team_G,Tot_Team_MP,Tot_Team_FG,Tot_Team_FGA,Tot_Team_FG%,Tot_Team_3P,Tot_Team_3PA,Tot_Team_3P%,Tot_Team_2P,Tot_Team_2PA,Tot_Team_2P%,Tot_Team_FT,Tot_Team_FTA,Tot_Team_FT%,Tot_Team_ORB,Tot_Team_DRB,Tot_Team_TRB,Tot_Team_AST,Tot_Team_STL,Tot_Team_BLK,Tot_Team_TOV,Tot_Team_PF,Tot_Team_PTS,Tot_Opp_G,Tot_Opp_MP,Tot_Opp_FG,Tot_Opp_FGA,Tot_Opp_FG%,Tot_Opp_3P,Tot_Opp_3PA,Tot_Opp_3P%,Tot_Opp_2P,Tot_Opp_2PA,Tot_Opp_2P%,Tot_Opp_FT,Tot_Opp_FTA,Tot_Opp_FT%,Tot_Opp_ORB,Tot_Opp_DRB,Tot_Opp_TRB,Tot_Opp_AST,Tot_Opp_STL,Tot_Opp_BLK,Tot_Opp_TOV,Tot_Opp_PF,Tot_Opp_PTS,Adv_Age,Adv_W,Adv_L,Adv_PW,Adv_PL,Adv_MOV,Adv_SOS,Adv_SRS,Adv_ORtg,Adv_DRtg,Adv_NRtg,Adv_Pace,Adv_FTr,Adv_3PAr,Adv_TS%,Adv_Offense Four Factors_eFG%,Adv_Offense Four Factors_TOV%,Adv_Offense Four Factors_ORB%,Adv_Offense Four Factors_FT/FGA,Adv_Defense Four Factors_eFG%,Adv_Defense Four Factors_TOV%,Adv_Defense Four Factors_DRB%,Adv_Defense Four Factors_FT/FGA,Adv_Arena,Adv_Attend.,Adv_Attend./G
2020-21,Atlanta Hawks,72,241.7,40.8,87.2,0.468,12.4,33.4,0.373,28.4,53.9,0.526,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7,72,241.7,41.3,89.1,0.463,11.9,34.2,0.349,29.3,55.0,0.534,16.9,21.1,0.803,10.0,32.7,42.7,24.4,7.7,5.0,12.3,19.8,111.4,72,17405,2937,6281,0.468,895,2402,0.373,2042,3879,0.526,1417,1745,0.812,760,2525,3285,1737,503,342,953,1392,8186,72,17405,2971,6418,0.463,858,2460,0.349,2113,3958,0.534,1219,1519,0.803,719,2352,3071,1754,557,363,886,1422,8019,25.4,41.0,31.0,41,31,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,State Farm Arena,59288.0,1647.0
2020-21,Boston Celtics,72,241.4,41.5,88.9,0.466,13.6,36.4,0.374,27.9,52.5,0.53,16.1,20.8,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,72,241.4,39.9,86.0,0.464,12.8,34.3,0.374,27.1,51.6,0.524,18.5,23.5,0.785,9.4,33.1,42.5,24.1,7.4,4.6,14.1,19.3,111.2,72,17380,2985,6401,0.466,979,2618,0.374,2006,3783,0.53,1160,1496,0.775,765,2421,3186,1689,556,383,1012,1471,8109,72,17380,2875,6191,0.464,925,2473,0.374,1950,3718,0.524,1329,1692,0.785,677,2382,3059,1732,531,334,1015,1389,8004,25.1,36.0,36.0,39,33,1.46,-0.14,1.32,114.0,112.5,1.5,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,TD Garden,30067.0,835.0
2020-21,Brooklyn Nets,72,241.7,43.1,87.3,0.494,14.2,36.1,0.392,29.0,51.2,0.565,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6,72,241.7,41.9,91.3,0.459,13.2,36.2,0.365,28.7,55.1,0.521,17.1,22.0,0.775,10.5,32.6,43.1,24.0,7.6,4.6,12.6,18.9,114.1,72,17405,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,1305,1623,0.804,640,2559,3199,1929,484,379,975,1371,8537,72,17405,3017,6573,0.459,951,2607,0.365,2066,3966,0.521,1228,1584,0.775,753,2348,3101,1729,550,330,908,1361,8213,28.2,48.0,24.0,46,26,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,Barclays Center,30491.0,847.0
2020-21,Charlotte Hornets,72,241.0,39.9,87.8,0.455,13.7,37.0,0.369,26.3,50.8,0.517,15.9,20.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5,72,241.0,41.3,88.1,0.468,14.5,39.5,0.366,26.8,48.6,0.552,14.4,19.3,0.745,10.6,34.5,45.2,27.1,8.1,4.8,14.8,18.6,111.4,72,17355,2875,6324,0.455,985,2666,0.369,1890,3658,0.517,1146,1505,0.761,762,2389,3151,1933,565,344,1069,1297,7881,72,17355,2972,6346,0.468,1042,2847,0.366,1930,3499,0.552,1034,1387,0.745,766,2487,3253,1951,582,347,1062,1340,8020,24.6,33.0,39.0,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,Spectrum Center,68255.0,1896.0
2020-21,Chicago Bulls,72,241.4,42.2,88.6,0.476,12.6,34.0,0.37,29.6,54.6,0.542,13.8,17.5,0.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7,72,241.4,41.4,87.7,0.473,11.5,32.3,0.356,29.9,55.3,0.541,17.2,22.2,0.774,8.7,33.5,42.1,24.1,8.5,5.1,12.7,17.7,111.6,72,17380,3035,6380,0.476,904,2446,0.37,2131,3934,0.542,995,1258,0.791,693,2544,3237,1927,482,304,1089,1362,7969,72,17380,2983,6313,0.473,829,2328,0.356,2154,3985,0.541,1238,1600,0.774,624,2410,3034,1737,614,364,917,1277,8033,25.6,31.0,41.0,34,38,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,United Center,13655.0,379.0
2020-21,Cleveland Cavaliers,72,242.1,38.6,85.8,0.45,10.0,29.7,0.336,28.6,56.0,0.51,16.7,22.4,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,72,242.1,42.0,86.7,0.484,12.4,32.4,0.383,29.6,54.3,0.545,15.9,20.4,0.779,9.9,33.8,43.7,25.4,8.5,5.9,14.3,20.2,112.3,72,17430,2778,6175,0.45,720,2141,0.336,2058,4034,0.51,1200,1614,0.743,751,2327,3078,1716,559,325,1114,1308,7476,72,17430,3024,6245,0.484,893,2334,0.383,2131,3911,0.545,1143,1468,0.779,712,2437,3149,1828,613,425,1033,1451,8084,24.0,22.0,50.0,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13.0,76.6,0.183,Rocket Mortgage Fieldhouse,91476.0,2541.0
2020-21,Dallas Mavericks,72,240.3,41.1,87.3,0.47,13.8,38.1,0.362,27.3,49.2,0.554,16.5,21.2,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,72,240.3,40.1,87.1,0.46,12.8,35.2,0.365,27.2,51.8,0.525,17.2,22.5,0.764,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2,72,17305,2958,6287,0.47,994,2744,0.362,1964,3543,0.554,1186,1524,0.778,657,2463,3120,1647,450,311,869,1396,8096,72,17305,2885,6269,0.46,925,2537,0.365,1960,3732,0.525,1238,1621,0.764,704,2460,3164,1631,527,264,908,1446,7933,26.3,42.0,30.0,41,31,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,American Airlines Center,94849.0,2635.0
2020-21,Denver Nuggets,72,242.8,43.3,89.2,0.485,12.9,34.2,0.377,30.4,55.0,0.552,15.7,19.5,0.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,72,242.8,40.0,85.4,0.469,13.0,35.7,0.363,27.1,49.7,0.545,17.1,22.1,0.773,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1,72,17480,3114,6422,0.485,927,2462,0.377,2187,3960,0.552,1129,1406,0.803,758,2442,3200,1933,582,323,972,1374,8284,72,17480,2883,6149,0.469,934,2570,0.363,1949,3579,0.545,1229,1589,0.773,652,2314,2966,1864,540,325,1014,1379,7929,26.1,47.0,25.0,47,25,4.93,-0.11,4.82,117.1,112.1,5.0,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,Ball Arena,54563.0,1516.0
2020-21,Detroit Pistons,72,242.1,38.7,85.6,0.452,11.6,32.9,0.351,27.1,52.7,0.515,17.8,23.4,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,72,242.1,41.4,86.9,0.476,11.3,31.4,0.362,30.0,55.6,0.541,17.0,22.3,0.76,10.0,34.4,44.3,24.8,8.0,5.8,13.9,20.4,111.1,72,17430,2783,6162,0.452,832,2370,0.351,1951,3792,0.515,1278,1683,0.759,694,2381,3075,1743,531,371,1075,1477,7676,72,17430,2980,6260,0.476,817,2260,0.362,2163,4000,0.541,1221,1607,0.76,717,2475,3192,1785,578,419,1004,1469,7998,24.5,20.0,52.0,26,46,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,Little Caesars Arena,14250.0,396.0
2020-21,Golden State Warriors,72,240.3,41.3,88.2,0.468,14.6,38.7,0.376,26.7,49.4,0.541,16.6,21.1,0.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7,72,240.3,40.2,89.0,0.452,12.4,34.5,0.359,27.9,54.5,0.511,19.8,25.5,0.778,10.7,36.6,47.3,23.8,7.9,4.3,15.0,19.5,112.7,72,17305,2973,6347,0.468,1048,2789,0.376,1925,3558,0.541,1193,1520,0.785,574,2524,3098,1991,587,342,1080,1526,8187,72,17305,2897,6408,0.452,891,2481,0.359,2006,3927,0.511,1426,1834,0.778,769,2635,3404,1711,567,312,1083,1406,8111,26.7,39.0,33.0,38,34,1.06,0.04,1.1,111.1,110.1,1.0,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,Chase Center,33457.0,929.0
2020-21,Houston Rockets,72,240.3,39.3,88.5,0.444,13.8,40.6,0.339,25.5,47.9,0.532,16.5,22.3,0.74,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8,72,240.3,42.7,89.0,0.48,13.4,35.2,0.382,29.3,53.9,0.544,17.9,22.8,0.783,9.9,37.7,47.6,25.8,8.5,5.3,14.7,19.3,116.7,72,17305,2826,6372,0.444,992,2923,0.339,1834,3449,0.532,1189,1606,0.74,671,2396,3067,1699,546,361,1060,1407,7833,72,17305,3075,6411,0.48,966,2532,0.382,2109,3879,0.544,1286,1642,0.783,713,2713,3426,1855,611,378,1055,1388,8402,26.5,17.0,55.0,20,52,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13.0,19.8,0.187,0.555,12.9,77.1,0.201,Toyota Center,117009.0,3250.0
2020-21,Indiana Pacers,72,242.4,43.3,91.2,0.474,12.3,34.0,0.364,30.9,57.3,0.54,16.4,20.7,0.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,72,242.4,42.7,91.3,0.468,11.5,31.5,0.366,31.2,59.9,0.521,18.4,23.5,0.782,11.3,35.5,46.8,26.1,7.4,5.3,14.8,18.1,115.3,72,17455,3115,6567,0.474,889,2445,0.364,2226,4122,0.54,1183,1493,0.792,648,2424,3072,1973,611,460,975,1453,8302,72,17455,3076,6576,0.468,828,2265,0.366,2248,4311,0.521,1325,1695,0.782,813,2555,3368,1877,535,380,1066,1306,8305,26.5,34.0,38.0,36,36,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,Bankers Life Fieldhouse,,
2020-21,League Average,72,241.4,41.2,88.4,0.466,12.7,34.6,0.367,28.5,53.8,0.53,17.0,21.8,0.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1,72,241.4,41.2,88.4,0.466,12.7,34.6,0.367,28.5,53.8,0.53,17.0,21.8,0.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1,72,17383,2967,6366,0.466,914,2494,0.367,2053,3872,0.53,1222,1571,0.778,708,2482,3190,1786,545,351,996,1389,8071,72,17383,2967,6366,0.466,914,2494,0.367,2053,3872,0.53,1222,1571,0.778,708,2482,3190,1786,545,351,996,1389,8071,26.3,,,36,36,0.0,0.0,0.0,112.3,112.3,,99.2,0.247,0.392,0.572,0.538,12.4,22.2,0.192,0.538,12.4,77.8,0.192,,49476.0,1374.0
2020-21,Los Angeles Clippers,72,240.0,41.8,86.7,0.482,14.3,34.7,0.411,27.5,52.0,0.529,16.2,19.3,0.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0,72,240.0,40.1,86.4,0.464,11.6,32.5,0.356,28.5,53.9,0.529,16.1,20.7,0.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8,72,17280,3009,6242,0.482,1027,2498,0.411,1982,3744,0.529,1164,1387,0.839,678,2501,3179,1756,509,295,950,1383,8209,72,17280,2887,6223,0.464,833,2341,0.356,2054,3882,0.529,1157,1489,0.777,659,2307,2966,1650,510,304,925,1303,7764,28.8,47.0,25.0,49,23,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,STAPLES Center,13901.0,386.0
