Season,Team,Vegas_Over_Under,Championship_Odds,Source
2019-20,Atlanta Hawks,,,DraftKings/Bovada
2019-20,Boston Celtics,,,DraftKings/Bovada
2019-20,Brooklyn Nets,,,DraftKings/Bovada
2019-20,Charlotte Hornets,,,DraftKings/Bovada
2019-20,Chicago Bulls,,,DraftKings/Bovada
2019-20,Cleveland Cavaliers,,,DraftKings/Bovada
2019-20,Dallas Mavericks,,,DraftKings/Bovada
2019-20,Denver Nuggets,,,DraftKings/Bovada
2019-20,Detroit Pistons,,,DraftKings/Bovada
2019-20,Golden State Warriors,,,DraftKings/Bovada
2019-20,Houston Rockets,,,DraftKings/Bovada
2019-20,Indiana Pacers,,,DraftKings/Bovada
2019-20,Los Angeles Clippers,,,DraftKings/Bovada
2019-20,Los Angeles Lakers,,,DraftKings/Bovada
2019-20,Memphis Grizzlies,,,DraftKings/Bovada
2019-20,Miami Heat,,,DraftKings/Bovada
2019-20,Milwaukee Bucks,,,DraftKings/Bovada
2019-20,Minnesota Timberwolves,,,DraftKings/Bovada
2019-20,New Orleans Pelicans,,,DraftKings/Bovada
2019-20,New York Knicks,,,DraftKings/Bovada
2019-20,Oklahoma City Thunder,,,DraftKings/Bovada
2019-20,Orlando Magic,,,DraftKings/Bovada
2019-20,Philadelphia 76ers,,,DraftKings/Bovada
2019-20,Phoenix Suns,,,DraftKings/Bovada
2019-20,Portland Trail Blazers,,,DraftKings/Bovada
2019-20,Sacramento Kings,,,DraftKings/Bovada
2019-20,San Antonio Spurs,,,DraftKings/Bovada
2019-20,Toronto Raptors,,,DraftKings/Bovada
2019-20,Utah Jazz,,,DraftKings/Bovada
2019-20,Washington Wizards,,,DraftKings/Bovada
2020-21,Atlanta Hawks,,,DraftKings/Bovada
2020-21,Boston Celtics,,,DraftKings/Bovada
2020-21,Brooklyn Nets,,,DraftKings/Bovada
2020-21,Charlotte Hornets,,,DraftKings/Bovada
2020-21,Chicago Bulls,,,DraftKings/Bovada
2020-21,Cleveland Cavaliers,,,DraftKings/Bovada
2020-21,Dallas Mavericks,,,DraftKings/Bovada
2020-21,Denver Nuggets,,,DraftKings/Bovada
2020-21,Detroit Pistons,,,DraftKings/Bovada
2020-21,Golden State Warriors,,,DraftKings/Bovada
2020-21,Houston Rockets,,,DraftKings/Bovada
2020-21,Indiana Pacers,,,DraftKings/Bovada
2020-21,Los Angeles Clippers,,,DraftKings/Bovada
2020-21,Los Angeles Lakers,,,DraftKings/Bovada
2020-21,Memphis Grizzlies,,,DraftKings/Bovada
2020-21,Miami Heat,,,DraftKings/Bovada
2020-21,Milwaukee Bucks,,,DraftKings/Bovada
2020-21,Minnesota Timberwolves,,,DraftKings/Bovada
2020-21,New Orleans Pelicans,,,DraftKings/Bovada
2020-21,New York Knicks,,,DraftKings/Bovada
2020-21,Oklahoma City Thunder,,,DraftKings/Bovada
2020-21,Orlando Magic,,,DraftKings/Bovada
2020-21,Philadelphia 76ers,,,DraftKings/Bovada
2020-21,Phoenix Suns,,,DraftKings/Bovada
2020-21,Portland Trail Blazers,,,DraftKings/Bovada
2020-21,Sacramento Kings,,,DraftKings/Bovada
2020-21,San Antonio Spurs,,,DraftKings/Bovada
2020-21,Toronto Raptors,,,DraftKings/Bovada
2020-21,Utah Jazz,,,DraftKings/Bovada
2020-21,Washington Wizards,,,DraftKings/Bovada
2021-22,Atlanta Hawks,,,DraftKings/Bovada
2021-22,Boston Celtics,,,DraftKings/Bovada
2021-22,Brooklyn Nets,,,DraftKings/Bovada
2021-22,Charlotte Hornets,,,DraftKings/Bovada
2021-22,Chicago Bulls,,,DraftKings/Bovada
