Season,Team,Returning_Minutes_Top8_Pct,Star_Weighted_Continuity,New_Players_Top8,Returning_Minutes_FullRoster_Pct,Total_Prev_Minutes_Top8,Total_Prev_Minutes_FullRoster
2015-16,Atlanta Hawks,78.67,79.26,11,40.67,204.9,556.4
2015-16,Boston Celtics,93.88,93.81,10,34.94,176.5,674.1
2015-16,Brooklyn Nets,47.16,47.38,14,30.18,198.7,592.8
2015-16,Charlotte Hornets,64.51,65.22,12,31.29,222.9,606.9
2015-16,Chicago Bulls,100.0,100.0,8,54.65,233.4,546.9
2015-16,Cleveland Cavaliers,100.0,100.0,10,45.29,226.1,619.5
2015-16,Dallas Mavericks,43.12,43.78,13,22.26,196.9,594.9
2015-16,Denver Nuggets,55.3,54.35,14,33.2,207.6,622.2
2015-16,Detroit Pistons,64.95,64.78,12,29.2,223.4,654.9
2015-16,Golden State Warriors,88.42,89.57,10,47.93,197.8,527.4
2015-16,Houston Rockets,89.17,89.85,12,43.23,206.0,627.8
2015-16,Indiana Pacers,61.43,61.39,11,28.83,192.1,581.3
2015-16,Los Angeles Clippers,75.51,77.39,13,32.2,214.4,577.6
2015-16,Los Angeles Lakers,53.05,53.06,11,23.49,196.8,676.8
2015-16,Memphis Grizzlies,81.73,82.73,23,42.27,188.8,586.3
2015-16,Miami Heat,94.54,94.79,13,40.04,219.9,692.0
2015-16,Milwaukee Bucks,46.87,47.52,13,33.71,191.4,654.4
2015-16,Minnesota Timberwolves,50.71,50.71,12,32.47,204.9,767.9
2015-16,New Orleans Pelicans,96.68,96.91,14,45.04,210.6,646.5
2015-16,New York Knicks,32.53,32.65,14,22.9,202.6,706.5
2015-16,Oklahoma City Thunder,87.79,87.82,10,45.86,229.3,680.3
2015-16,Orlando Magic,92.04,92.22,10,43.46,203.5,564.2
2015-16,Philadelphia 76ers,45.51,45.62,15,26.87,185.9,755.4
2015-16,Phoenix Suns,58.25,58.59,19,28.1,220.1,635.5
2015-16,Portland Trail Blazers,25.18,25.94,14,18.81,204.1,599.3
2015-16,Sacramento Kings,63.99,65.97,11,26.95,164.1,588.8
2015-16,San Antonio Spurs,79.97,80.76,11,36.94,190.2,553.9
2015-16,Toronto Raptors,68.29,68.79,11,33.01,207.8,527.4
2015-16,Utah Jazz,81.85,82.88,11,42.0,187.9,606.0
2015-16,Washington Wizards,80.37,80.54,13,38.69,196.6,572.8
2016-17,Atlanta Hawks,71.16,70.39,14,37.72,210.1,550.7
2016-17,Boston Celtics,76.45,77.12,9,40.0,219.1,532.2
2016-17,Brooklyn Nets,34.74,35.3,18,19.76,201.5,607.4
2016-17,Charlotte Hornets,76.72,77.66,13,38.25,213.1,592.1
2016-17,Chicago Bulls,52.67,53.04,14,23.7,187.4,588.7
2016-17,Cleveland Cavaliers,88.2,88.97,14,45.66,208.4,603.6
2016-17,Dallas Mavericks,60.39,60.49,19,31.71,184.8,562.0
2016-17,Denver Nuggets,90.07,90.6,13,39.67,177.2,620.6
2016-17,Detroit Pistons,83.42,84.09,9,38.7,221.3,592.8
2016-17,Golden State Warriors,68.47,71.2,12,32.9,216.6,535.5
