PLAYER,TEAM,GP,W,L,MIN,PTS,Pull Up FGM,Pull Up FGA,Pull Up FG%,Pull Up 3PM,Pull Up 3PA,Pull Up 3P%,Pull Up eFG%,FGM,FGA,FG%,3PM,3PA,3P%,Freq%
Alondes Williams,LAC,1,0,1,3.7,0.0,0.0,0.0,-,0.0,0.0,-,-,2.0,2.0,100,1.0,1.0,100,0.00
Ron Harper Jr.,DET,1,0,1,17.0,0.0,0.0,0.0,-,0.0,0.0,-,-,1.0,8.0,12.5,0.0,6.0,0.0,0.00
Terence Davis,SAC,1,1,0,7.9,0.0,0.0,1.0,0.0,0.0,0.0,-,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.50
Mac McClung,ORL,2,1,1,5.1,0.0,0.0,0.5,0.0,0.0,0.0,-,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.50
Quincy Olivari,LAL,2,1,1,5.2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,2.5,20.0,0.5,2.5,20.0,0.20
Taze Moore,POR,2,0,2,9.9,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,5.0,20.0,0.5,2.0,25.0,0.20
Yuri Collins,GSW,2,2,0,8.1,1.0,0.5,1.5,33.3,-,-,-,33.3,0.5,1.5,33.3,0.0,0.0,0.0,1.00
Daishen Nix,MIN,3,3,0,4.4,0.0,0.0,0.0,-,0.0,0.0,-,-,0.0,0.3,0.0,0.0,0.3,0.0,0.00
Isaiah Stevens,MIA,3,3,0,1.8,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,1.00
Zyon Pullin,MEM,3,1,2,0.9,0.0,0.0,0.0,-,-,-,-,-,0.0,0.3,0.0,0.0,0.0,0.0,0.00
D.J. Carton,TOR,4,1,3,8.3,0.0,0.0,0.0,-,0.0,0.0,-,-,0.3,1.8,14.3,0.0,0.8,0.0,0.00
Kevin McCullar Jr.,NYK,4,4,0,7.3,0.0,0.0,0.8,0.0,0.0,0.0,-,0.0,0.5,1.8,28.6,0.0,0.3,0.0,0.44
Malachi Flynn,SAS,4,2,2,10.9,0.5,0.3,1.0,25.0,0.0,0.0,-,25.0,1.3,3.3,38.5,0.3,1.0,25.0,0.30
Marcus Garrett,CHA,4,1,3,19.8,0.5,0.3,1.5,16.7,0.0,0.3,0.0,16.7,2.8,6.8,40.7,0.8,2.0,37.5,0.22
Jamaree Bouyea,MIL,5,4,1,12.3,1.0,0.4,0.6,66.7,0.2,0.4,50.0,83.3,1.2,2.4,50.0,0.2,1.0,20.0,0.25
Daeqwon Plowden,ATL,6,3,3,11.9,0.0,0.0,0.0,-,0.0,0.0,-,-,2.7,4.2,64.0,1.5,2.8,52.9,0.00
David Duke Jr.,SAS,6,0,6,5.6,0.0,0.0,0.2,0.0,0.0,0.0,-,0.0,1.0,2.3,42.9,0.5,1.0,50.0,0.09
De'Anthony Melton,BKN,6,4,2,20.2,1.5,0.5,1.8,27.3,0.5,1.7,30.0,40.9,3.7,9.0,40.7,2.2,5.8,37.1,0.20
Jahmir Young,CHI,6,4,2,4.9,0.0,0.0,0.0,-,0.0,0.0,-,-,0.7,0.8,80.0,0.2,0.3,50.0,0.00
Jaylen Sims,CHA,6,0,6,18.6,1.3,0.5,1.3,37.5,0.3,0.7,50.0,50.0,2.0,4.7,42.9,1.0,2.5,40.0,0.28
Killian Hayes,BKN,6,1,5,27.1,0.8,0.3,1.7,20.0,0.2,0.8,20.0,25.0,3.0,7.2,41.9,1.3,3.5,38.1,0.24
Oshae Brissett,PHI,6,1,5,23.7,1.0,0.3,0.3,100,0.3,0.3,100,150.0,3.2,6.5,48.7,1.0,3.0,33.3,0.05
Daniss Jenkins,DET,7,3,4,3.2,0.4,0.1,0.4,33.3,0.1,0.4,33.3,50.0,0.4,1.4,30.0,0.1,1.0,14.3,0.29
Tyson Etienne,BKN,7,1,6,21.6,0.3,0.1,0.6,25.0,0.0,0.4,0.0,25.0,2.4,7.4,32.7,1.9,6.3,29.5,0.08
Jaylen Nowell,WAS,8,1,7,21.0,1.3,0.6,3.1,20.0,0.0,0.9,0.0,20.0,3.3,9.1,35.6,1.0,3.4,29.6,0.34
Josh Richardson,MIA,8,4,4,18.7,0.3,0.1,0.5,25.0,0.0,0.1,0.0,25.0,1.4,4.8,28.9,0.8,2.8,27.3,0.10
Tristen Newton,MIN,8,2,6,2.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.1,1.0,12.5,0.0,0.4,0.0,0.30
Jack McVeigh,HOU,9,5,4,4.8,0.2,0.1,0.4,25.0,0.0,0.2,0.0,25.0,0.6,1.9,29.4,0.4,1.4,30.8,0.21
PJ Dozier,MIN,9,7,2,3.9,0.0,0.0,0.0,-,0.0,0.0,-,-,0.2,0.3,66.7,0.2,0.3,66.7,0.00
Elijah Harkless,UTA,10,1,9,13.8,0.3,0.1,0.5,20.0,0.1,0.3,33.3,30.0,1.1,3.5,31.4,0.7,2.5,28.0,0.14
Kobe Bufkin,ATL,10,6,4,12.4,0.9,0.4,1.3,30.8,0.1,0.5,20.0,34.6,1.8,4.7,38.3,0.4,1.9,21.1,0.28
Mason Jones,SAC,10,4,6,4.5,0.4,0.2,0.3,66.7,0.0,0.1,0.0,66.7,0.9,1.8,50.0,0.1,0.8,12.5,0.17
RayJ Dennis,IND,11,7,4,6.4,1.2,0.5,1.2,38.5,0.3,0.7,37.5,50.0,1.0,3.0,33.3,0.5,1.9,28.6,0.40
Bryce McGowens,POR,13,8,5,2.5,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.3,1.1,28.6,0.0,0.3,0.0,0.18
Cam Christie,LAC,13,10,3,4.5,0.2,0.1,0.6,12.5,0.0,0.5,0.0,12.5,0.5,1.8,29.2,0.2,1.0,15.4,0.33
Lester Quinones,NOP,13,3,10,14.1,0.8,0.3,1.8,17.4,0.2,1.2,18.8,23.9,2.4,6.0,39.7,1.0,3.4,29.5,0.30
Tre Mann,CHA,13,6,7,24.5,4.4,1.8,4.6,38.3,0.8,2.4,35.5,47.5,5.4,12.4,43.5,1.8,4.6,40.0,0.37
Dru Smith,MIA,14,8,6,19.2,0.4,0.1,0.7,20.0,0.1,0.4,33.3,30.0,2.2,4.4,50.8,1.1,2.1,53.3,0.16
Jared Rhoden,TOR,14,8,6,16.2,0.6,0.2,0.7,30.0,0.2,0.4,50.0,45.0,3.0,6.2,48.3,0.9,2.8,30.8,0.11
Josh Christopher,MIA,14,9,5,5.0,0.1,0.1,0.4,16.7,0.0,0.2,0.0,16.7,0.8,2.2,35.5,0.1,0.8,18.2,0.18
Damion Baugh,CHA,15,1,14,24.7,0.3,0.1,1.0,13.3,0.1,0.7,10.0,16.7,2.8,8.7,32.3,0.8,3.7,21.4,0.11
Jalen Hood-Schifino,PHI,15,3,12,21.0,4.1,1.7,4.2,41.3,0.6,2.0,30.0,48.4,2.5,6.5,37.8,0.9,3.1,30.4,0.65
Matisse Thybulle,POR,15,8,7,20.8,0.6,0.2,0.5,42.9,0.2,0.4,50.0,64.3,2.8,5.9,47.7,1.4,3.2,43.8,0.08
JD Davison,BOS,16,13,3,5.8,0.6,0.3,0.8,30.8,0.1,0.4,33.3,38.5,0.8,2.1,35.3,0.3,1.1,22.2,0.38
Jaylen Martin,WAS,16,3,13,14.9,0.5,0.2,0.8,23.1,0.1,0.2,66.7,30.8,1.9,4.6,41.9,0.4,1.4,30.4,0.17
Jazian Gortman,DAL,16,8,8,3.5,0.6,0.3,0.4,57.1,0.1,0.2,66.7,71.4,0.6,1.4,39.1,0.3,0.7,36.4,0.29
TyTy Washington Jr.,PHX,16,4,12,7.4,0.8,0.4,1.4,27.3,0.1,0.4,16.7,29.5,0.9,2.8,31.1,0.3,1.3,19.0,0.50
Chris Duarte,CHI,17,4,13,4.4,0.4,0.1,0.5,22.2,0.1,0.5,22.2,33.3,0.7,1.5,46.2,0.4,0.9,40.0,0.33
Joe Ingles,MIN,19,12,7,6.0,0.2,0.1,0.5,11.1,0.1,0.4,14.3,16.7,0.3,1.2,26.1,0.2,0.8,20.0,0.42
Danté Exum,DAL,20,7,13,18.6,1.0,0.5,1.4,33.3,0.1,0.6,18.2,37.0,3.2,6.7,47.8,1.2,2.7,43.4,0.21
Dariq Whitehead,BKN,20,6,14,12.3,0.2,0.1,0.7,7.1,0.1,0.5,10.0,10.7,2.0,4.8,40.6,1.7,3.7,44.6,0.15
Isaiah Wong,CHA,20,2,18,13.3,2.4,1.0,2.5,40.0,0.4,0.9,38.9,47.0,2.1,5.3,39.0,0.7,1.7,39.4,0.47
Lonnie Walker IV,PHI,20,3,17,23.8,3.3,1.3,3.6,36.1,0.7,2.2,30.2,45.1,4.5,10.6,42.0,2.3,6.4,35.4,0.34
Nate Williams,HOU,20,14,6,7.3,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,1.4,3.1,43.5,0.3,1.3,23.1,0.06
Alex Ducas,OKC,21,20,1,6.0,0.1,0.0,0.1,50.0,0.0,0.0,-,50.0,0.6,1.4,40.0,0.5,1.0,47.6,0.07
Markelle Fultz,SAC,21,9,12,8.8,1.1,0.6,1.5,38.7,0.0,0.0,0.0,38.7,1.3,3.2,41.8,0.2,0.4,50.0,0.47
Sidy Cissoko,POR,22,11,11,5.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,1.4,43.3,0.1,0.6,23.1,0.07
Stanley Umude,MIL,22,15,7,3.9,0.0,0.0,0.2,0.0,0.0,0.0,-,0.0,0.2,1.2,19.2,0.1,0.7,20.0,0.17
Yuki Kawamura,MEM,22,17,5,4.2,0.8,0.3,0.7,43.8,0.2,0.5,36.4,56.3,0.5,1.4,36.7,0.3,1.0,30.4,0.50
Jared McCain,PHI,23,7,16,25.7,4.1,1.7,4.3,40.4,0.7,2.2,29.4,48.0,5.5,11.9,46.0,2.2,5.8,38.3,0.36
Bones Hyland,MIN,24,11,13,9.9,3.2,1.1,3.0,38.0,0.9,2.3,40.0,53.5,2.0,4.9,39.8,1.3,3.4,39.0,0.61
Elfrid Payton,NOP,24,3,21,21.3,1.4,0.7,2.4,29.8,0.0,0.1,0.0,29.8,1.7,5.1,32.8,0.0,0.3,16.7,0.47
Malcolm Brogdon,WAS,24,6,18,23.5,2.3,1.1,3.3,32.5,0.1,0.8,15.0,34.4,4.3,10.0,43.3,0.7,2.3,28.6,0.33
Trey Alexander,DEN,24,14,10,4.9,0.5,0.3,0.7,37.5,0.0,0.1,0.0,37.5,0.5,1.7,31.7,0.1,0.7,17.6,0.41
Cam Spencer,MEM,25,14,11,10.1,0.8,0.3,0.9,36.4,0.2,0.6,35.7,47.7,1.4,3.3,41.5,0.8,2.1,36.5,0.27
Cam Thomas,BKN,25,8,17,31.2,9.3,3.8,9.5,39.7,1.8,5.2,34.9,49.2,8.0,18.2,43.8,2.7,7.8,34.9,0.52
Damion Lee,PHX,25,6,19,5.8,0.7,0.3,0.8,38.1,0.0,0.3,14.3,40.5,1.1,3.0,36.5,0.4,1.5,24.3,0.27
A.J. Lawson,TOR,26,14,12,18.7,0.5,0.2,0.4,40.0,0.2,0.3,50.0,60.0,3.1,7.3,42.1,1.3,3.9,32.7,0.05
Bronny James,LAL,27,17,10,6.7,0.9,0.3,1.1,31.0,0.2,0.6,35.3,41.4,0.8,2.5,31.3,0.3,1.2,28.1,0.44
Vince Williams Jr.,MEM,27,10,17,18.5,0.7,0.3,0.8,36.4,0.1,0.5,30.8,45.5,2.5,6.2,40.1,1.0,3.5,27.4,0.13
Garrett Temple,TOR,28,11,17,8.1,0.3,0.1,0.6,25.0,0.0,0.2,20.0,28.1,0.6,2.1,30.0,0.2,1.0,21.4,0.29
Quenton Jackson,IND,28,14,14,13.6,0.6,0.2,0.8,27.3,0.2,0.5,33.3,38.6,2.1,4.4,47.5,0.5,1.4,37.5,0.18
AJ Johnson,WAS,29,8,21,22.0,1.0,0.3,1.4,23.8,0.3,1.3,25.6,35.7,2.8,7.3,38.5,0.8,3.1,26.7,0.19
Jordan Goodwin,LAL,29,17,12,18.7,1.0,0.5,1.2,38.9,0.1,0.3,20.0,41.7,2.2,5.0,43.8,0.9,2.3,38.2,0.24
Patty Mills,LAC,29,12,17,11.1,1.2,0.5,1.2,38.9,0.3,0.8,33.3,50.0,1.2,3.3,37.5,0.9,2.6,34.7,0.36
Jaden Ivey,DET,30,14,16,29.9,4.4,1.8,4.8,37.5,0.8,2.3,34.8,45.8,6.3,13.8,46.0,2.1,5.1,40.9,0.35
Baylor Scheierman,BOS,31,27,4,12.4,0.7,0.3,0.8,30.8,0.2,0.5,40.0,42.3,1.3,3.5,35.5,0.8,2.6,31.7,0.23
Dejounte Murray,NOP,31,9,22,32.6,6.7,3.0,7.8,37.9,0.8,2.7,28.9,42.8,6.3,15.9,39.3,1.7,5.6,29.9,0.49
Keaton Wallace,ATL,31,15,16,16.2,1.7,0.8,2.3,33.8,0.2,0.7,26.1,38.0,2.1,5.2,40.1,0.9,2.6,32.9,0.44
Reggie Jackson,PHI,31,11,20,12.4,1.0,0.4,1.4,29.5,0.2,0.6,31.6,36.4,1.7,4.3,39.1,0.8,2.4,33.8,0.33
Trevelin Queen,ORL,31,15,16,13.9,0.9,0.3,1.3,25.6,0.3,1.0,25.8,35.9,1.8,4.7,38.1,0.7,2.5,28.6,0.28
Terrence Shannon Jr.,MIN,32,21,11,10.6,0.4,0.2,0.5,33.3,0.1,0.2,40.0,40.0,1.7,3.6,48.2,0.3,1.0,35.5,0.14
Brandon Williams,DAL,33,15,18,14.8,1.2,0.5,1.2,41.0,0.2,0.7,26.1,48.7,3.0,5.7,52.1,0.7,1.8,40.0,0.21
Cam Reddish,LAL,33,15,18,17.9,0.1,0.0,0.2,16.7,0.0,0.1,0.0,16.7,1.2,2.8,40.4,0.4,1.4,27.7,0.07
Collin Gillespie,PHX,33,12,21,14.0,1.6,0.6,1.6,38.5,0.4,0.8,42.9,50.0,2.1,4.8,43.0,1.2,2.7,43.3,0.33
Immanuel Quickley,TOR,33,12,21,27.8,5.9,2.3,5.6,41.3,1.3,3.4,38.7,53.0,5.6,13.3,42.0,2.6,6.8,37.8,0.42
Johnny Davis,WAS,34,4,30,7.1,0.5,0.2,0.6,31.8,0.1,0.4,30.8,40.9,0.9,2.3,41.0,0.2,0.9,24.1,0.26
Marcus Smart,WAS,34,17,17,20.0,1.9,0.8,1.8,41.9,0.4,1.1,36.1,52.4,3.0,7.6,39.3,1.4,4.1,34.8,0.24
Jalen Suggs,ORL,35,20,15,28.6,4.4,1.8,5.4,33.9,0.7,2.7,26.9,40.5,5.6,13.7,41.0,2.2,6.9,31.4,0.39
Kyle Lowry,PHI,35,14,21,18.8,0.9,0.3,1.0,33.3,0.2,0.7,32.0,44.4,1.2,3.3,35.0,0.8,2.5,33.0,0.30
Lonzo Ball,CHI,35,16,19,22.2,1.9,0.7,1.8,37.5,0.5,1.2,39.5,50.8,2.5,6.9,36.6,1.9,5.6,34.4,0.26
Ajay Mitchell,OKC,36,31,5,16.6,0.7,0.3,0.8,42.9,0.1,0.2,25.0,46.4,2.5,5.1,49.5,0.6,1.7,38.3,0.16
