Player,Age,Season,GP,PPG,APG,RPG,TS%,VORP,Current_Salary_2024_25,Predicted_2026_Salary,Change,Pct_Change
collin sexton,26,2024-25,63,18.4,4.2,2.7,5930.0,0.6,17737500.0,1.7542568e+07,-194932.0,-1.1
coby white,25,2024-25,74,20.4,4.5,3.7,6010.0,0.7,12000000.0,1.2563335e+07,563335.0,4.7
gabe vincent,29,2024-25,72,6.4,1.4,1.3,5360.0,-0.8,11000000.0,1.1229664e+07,229664.0,2.1
mike conley,37,2024-25,71,8.2,4.5,2.6,5730.0,1.4,10375000.0,1.0948068e+07,573068.0,5.5
lonzo ball,27,2024-25,35,7.6,3.3,3.4,5240.0,0.4,10000000.0,9.175706e+06,-824294.0,-8.2
tyus jones,29,2024-25,81,10.2,5.3,2.4,5850.0,1.1,7000000.0,7.430166e+06,430166.0,6.1
ayo dosunmu,25,2024-25,46,12.3,4.5,3.5,5850.0,0.1,7000000.0,7.066048e+06,66048.0,0.9
jevon carter,29,2024-25,36,4.3,1.1,1.1,5090.0,0.0,6500000.0,6.542966e+06,42966.0,0.7
d'angelo russell,29,2024-25,58,12.6,5.1,2.8,5220.0,0.6,5827125.0,6.2204e+06,393275.0,6.7
marcus smart,31,2024-25,34,9.0,3.2,2.1,5290.0,0.1,5262350.0,5.634354e+06,372004.0,7.1
kevin porter jr.,25,2024-25,75,10.3,3.4,3.7,5310.0,0.5,5262350.0,5.31432e+06,51970.0,1.0
aaron holiday,28,2024-25,62,5.5,1.3,1.3,5940.0,0.3,4784700.0,4.508786e+06,-275914.0,-5.8
chris paul,40,2024-25,82,8.8,7.4,3.6,5800.0,1.6,3634153.0,4.429328e+06,795175.0,21.9
jose alvarado,27,2024-25,56,10.3,4.6,2.4,5230.0,0.2,4500000.0,4.18742e+06,-312580.0,-6.9
kyle lowry,39,2024-25,35,3.9,2.7,1.9,5250.0,0.1,3634153.0,4.033554e+06,399401.0,11.0
gary payton ii,32,2024-25,62,6.5,1.3,3.0,6350.0,0.8,3303774.0,3.432308e+06,128534.0,3.9
russell westbrook,36,2024-25,75,13.3,6.1,4.9,5320.0,0.5,3386366.0,3.423098e+06,36732.0,1.1
dante exum,29,2024-25,20,8.7,2.8,1.7,5890.0,0.0,3303774.0,3.32408e+06,20306.0,0.6
monte morris,30,2024-25,45,5.2,1.6,1.5,5460.0,0.0,2966225.0,3.108476e+06,142251.0,4.8
jordan mclaughlin,29,2024-25,46,2.1,1.1,0.7,6000.0,0.0,2874436.0,2.851392e+06,-23044.0,-0.8
cole anthony,25,2024-25,67,9.4,2.9,3.0,5310.0,0.7,2667947.0,2.612886e+06,-55061.0,-2.1
collin gillespie,26,2024-25,33,5.9,2.4,2.4,5780.0,0.5,2378870.0,2.372161e+06,-6709.0,-0.3
jalen pickett,25,2024-25,49,4.1,2.2,1.4,5450.0,0.1,2056971.0,2.046075e+06,-10896.0,-0.5
jamal shead,22,2024-25,75,7.1,4.2,1.5,4990.0,-0.8,2037971.0,2.042076e+06,4105.0,0.2
nick smith jr.,21,2024-25,60,9.9,2.4,2.1,5020.0,-1.3,0.0,1.723433e+06,1723433.0,inf
elijah harkless,25,2024-25,10,3.2,0.8,2.1,4250.0,-0.1,0.0,1.719334e+06,1719334.0,inf
jd davison,22,2024-25,16,2.1,0.8,0.8,4450.0,-0.1,0.0,1.717679e+06,1717679.0,inf
kj simpson,22,2024-25,36,7.8,3.1,3.0,4370.0,-0.7,0.0,1.7153e+06,1715300.0,inf
isaiah stevens,24,2024-25,3,0.0,0.0,0.7,0.0,0.0,0.0,1.714756e+06,1714756.0,inf
rayj dennis,24,2024-25,11,2.7,1.3,1.1,4430.0,0.0,0.0,1.714172e+06,1714172.0,inf
sharife cooper,21,2021-22,13,0.5,0.4,0.4,2500.0,-0.1,0.0,1.713952e+06,1713952.0,inf
jordan goodwin,26,2024-25,29,5.6,1.4,3.9,5410.0,0.2,1286648.0,1.70946e+06,422812.0,32.9
brandon williams,25,2024-25,33,8.3,2.3,1.8,6340.0,0.4,1159362.0,1.709448e+06,550086.0,47.4
