PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FTFreq%","TOVFreq%","SFFreq%","And OneFreq%","ScoreFreq%",Percentile
Trae Young,ATL,54,12,45.6,0.98,11.7,3.7,8.4,43.5,53,14.1,17.8,10.4,2.3,42.4,81.1
Dejounte Murray,ATL,78,7.5,32.9,0.86,6.4,2.6,6.2,41.5,46.3,5.8,12.2,5,0.9,39.2,51.5
Bogdan Bogdanović,ATL,79,2.3,14.1,1.08,2.5,0.9,1.7,53.3,61.3,7.2,17.8,6.1,1.1,46.7,94.1
De'Andre Hunter,ATL,57,1.2,8.1,1.22,1.4,0.5,1,54.4,63.2,10.4,9,9,4.5,52.2,98.4
Jalen Johnson,ATL,56,1,6.3,0.78,0.8,0.3,0.7,41.5,45.1,10.9,16.4,10.9,1.8,36.4,32.9
Kobe Bufkin,ATL,17,2.4,38.1,1,2.4,1,2.1,47.2,52.8,7.5,5,5,2.5,47.5,86.6
Saddiq Bey,ATL,63,0.6,4.4,0.97,0.6,0.2,0.5,40.6,46.9,10.8,8.1,10.8,5.4,40.5,79.8
Trent Forrest,ATL,38,1.5,47.5,0.58,0.9,0.3,1.1,26.8,26.8,12.3,17.5,8.8,1.8,29.8,9.8
Vít Krejčí,ATL,22,0.9,15,0.84,0.7,0.3,0.5,58.3,66.7,0,36.8,0,0,36.8,47.9
Cam Thomas,BKN,66,6.7,30.4,0.91,6.1,2.3,5.4,41.6,45.5,10.9,10.6,10.6,2.5,41.9,62.2
Mikal Bridges,BKN,82,4.6,23.7,0.85,3.9,1.5,3.5,41.8,45.3,10.4,15.7,9.3,2.1,39.7,49.8
Spencer Dinwiddie,BKN,48,4.4,33.4,0.84,3.7,1.3,3.3,37.5,41.6,17.1,12.4,17.1,5.7,39,48.2
Dennis Schröder,BKN,29,6.5,40.4,0.81,5.2,2.1,5,42.8,47.2,6.4,18.6,5.3,2.1,37.2,39.4
Lonnie Walker IV,BKN,58,2.4,24.2,0.83,2,0.8,1.9,41.6,46.9,5.8,13.8,5.8,1.4,38.4,45.9
Cameron Johnson,BKN,58,1.7,13.3,0.86,1.4,0.6,1.5,42.4,45.9,7.3,6.3,7.3,2.1,41.7,53.7
Dennis Smith Jr.,BKN,56,1.6,20.6,0.76,1.2,0.4,1.1,42.4,44.1,12.4,24.7,12.4,3.4,37.1,30
Royce O'Neale,BKN,49,0.6,7.8,0.8,0.5,0.2,0.4,38.1,50,6.7,23.3,6.7,0,33.3,38.2
Jalen Wilson,BKN,43,0.4,7.3,0.88,0.3,0.1,0.3,50,50,6.3,18.8,0,0,43.8,57.8
Dorian Finney-Smith,BKN,68,0.2,2,1.08,0.2,0.1,0.1,50,65,0,16.7,0,0,41.7,94.1
Jayson Tatum,BOS,73,5.4,22.2,0.95,5.2,1.8,4.3,41.9,51.4,8.3,13.6,7.8,1.3,40.3,76.2
Derrick White,BOS,72,3.8,27.8,0.97,3.7,1.3,3,44,51.4,9.8,14.5,8.7,2.5,41.7,79.2
Jaylen Brown,BOS,69,3.6,16.3,0.94,3.3,1.4,2.8,48,52.6,6.9,15.4,5.3,1.6,42.5,72
Payton Pritchard,BOS,81,1.9,21.3,0.97,1.8,0.7,1.6,46.5,51.9,5.9,11.1,5.9,1.3,43.1,78.5
Jrue Holiday,BOS,68,2.4,19.8,0.74,1.8,0.7,1.9,39.1,44.9,2.4,20,1.8,0,32.7,26.7
Sam Hauser,BOS,78,0.2,2.5,0.73,0.1,0.1,0.2,26.7,36.7,0,0,0,0,26.7,25.4
Dalano Banton,BOS,23,0.7,25.8,0.59,0.4,0.1,0.5,25,25,11.8,17.6,11.8,0,29.4,10.4
Oshae Brissett,BOS,55,0.2,4.7,0.7,0.1,0,0.1,28.6,28.6,30,10,30,10,30,21.2
Svi Mykhailiuk,BOS,41,0.2,6.5,0.6,0.1,0,0.2,25,31.3,10,10,10,0,30,11.4
Brandon Miller,CHA,74,5,28.9,0.87,4.4,1.7,4.1,41.9,45.5,8.6,12.1,8.1,1.9,40.4,56
Terry Rozier,CHA,30,7.6,34.3,1.11,8.5,3.2,6.5,49.5,58.2,7.5,9.2,6.1,1.8,47.8,96.4
LaMelo Ball,CHA,22,11.1,44.8,0.98,10.9,4,8.6,46.6,53.2,9.8,15.5,9,2.4,43.3,80.8
Vasilije Micic,CHA,30,7,56.1,0.92,6.5,2.4,5.1,47.4,52.6,9,19.4,8.1,1.4,42.2,68.7
Miles Bridges,CHA,69,3.1,15.2,0.89,2.8,1.1,2.6,41.6,47.5,6.9,12,6.5,0.9,40.1,59.3
Tre Mann,CHA,28,5.8,45.5,0.8,4.6,1.9,4.3,43,46.3,8,19.8,7.4,2.5,36.4,36.2
Gordon Hayward,CHA,25,4.1,26.8,0.83,3.4,1.3,3,43.2,43.9,12.7,15.7,11.8,1,42.2,45.9
Bryce McGowens,CHA,59,1,20.5,1.05,1.1,0.4,0.8,53.3,57.8,13.1,14.8,11.5,1.6,50.8,89.9
Nick Smith Jr.,CHA,51,1.7,26,0.68,1.2,0.5,1.4,34.3,40.7,1.1,18.4,1.1,0,28.7,18.2
Ish Smith,CHA,43,2.1,43.8,0.57,1.2,0.6,1.7,36.6,36.6,0,22,0,0,28.6,9.2
Cody Martin,CHA,28,2.5,26,0.69,1.8,0.7,1.9,37,44.4,4.2,22.5,4.2,2.8,28.2,20.5
P.J. Washington,CHA,44,0.7,5.2,0.75,0.5,0.2,0.6,35.7,41.1,6.3,9.4,6.3,3.1,31.3,28.3
Seth Curry,CHA,8,2.8,32.4,0.73,2,0.8,2.3,33.3,33.3,13.6,9.1,13.6,4.5,36.4,24.3
Theo Maledon,CHA,13,1.3,19.5,0.41,0.5,0.2,1,23.1,26.9,0,23.5,0,0,17.6,2.6
Aleksej Pokusevski,CHA,18,0.7,9.5,0.39,0.3,0.1,0.4,12.5,12.5,15.4,23.1,15.4,0,23.1,2
DeMar DeRozan,CHI,79,8.1,36.8,1.06,8.6,3.1,6.2,50.4,50.9,19.5,8.9,17.6,4.4,53,92.5
Coby White,CHI,79,6.1,32.3,0.93,5.7,2.3,4.6,49.2,51.5,11,16.4,10,2.9,45,69.1
Ayo Dosunmu,CHI,76,2.4,21.1,0.91,2.2,0.9,1.9,51.1,55,5.5,18.6,4.9,1.1,43.7,64.5
Zach LaVine,CHI,25,6.2,32.7,0.94,5.8,2.1,5.1,41.7,47.6,9.1,8.4,7.8,0,43.5,72.6
Alex Caruso,CHI,71,1.8,18.4,0.93,1.7,0.6,1.2,50,58.3,10.9,24.2,10.2,0.8,42.2,69.7
Patrick Williams,CHI,43,1.5,14.8,0.85,1.3,0.6,1.3,44.4,47.2,4.5,13.6,4.5,0,40.9,49.5
Jevon Carter,CHI,72,0.9,15.8,0.77,0.7,0.3,0.8,38.2,43.6,1.6,12.5,0,0,34.4,30.3
Dalen Terry,CHI,59,0.4,10.5,0.59,0.2,0.1,0.2,35.7,35.7,22.7,18.2,18.2,4.5,31.8,10.7
Donovan Mitchell,CLE,55,9.7,38.6,0.95,9.2,3.3,7.7,42.9,50,10.5,11.5,9.2,1.5,42.4,76.5
Darius Garland,CLE,57,7.9,41.7,0.85,6.8,2.6,6.1,42.6,48.6,6.8,16.3,6,0.4,39.1,50.8
Caris LeVert,CLE,68,4.2,27.7,0.86,3.6,1.5,3.4,44.3,48.2,6.7,14.4,6.3,1.1,40.7,53.4
Craig Porter Jr.,CLE,51,2.2,37.5,0.98,2.1,0.9,1.7,51.1,52.8,10.8,11.7,10.8,1.8,47.7,81.8
Max Strus,CLE,70,1.1,9,0.59,0.7,0.2,0.7,28,35,7.6,30.4,6.3,1.3,24.1,11.1
Isaac Okoro,CLE,69,0.4,4.7,0.71,0.3,0.1,0.3,33.3,39.6,3.6,14.3,3.6,3.6,28.6,22.1
Evan Mobley,CLE,50,0.4,3.1,0.73,0.3,0.1,0.3,37.5,37.5,13.6,22.7,9.1,9.1,31.8,24.3
Georges Niang,CLE,82,0.3,3,0.73,0.2,0.1,0.2,36.8,42.1,0,13.6,0,0,31.8,24.3
Sam Merrill,CLE,61,0.4,5.2,0.68,0.2,0.1,0.3,33.3,41.7,0,18.2,0,0,27.3,19.3
Luka Dončić,DAL,70,10.6,33.8,1.07,11.3,4.1,7.7,53.2,61.8,13.2,18.1,12.2,4.2,46.9,93.5
Kyrie Irving,DAL,58,5.5,24.4,0.98,5.4,2.1,4.6,45.1,50.6,8.7,9.3,6.5,1.6,44.5,82.1
Jaden Hardy,DAL,73,2.1,26.4,0.82,1.7,0.7,1.7,40.3,44,6.6,11.8,4.6,0,39.5,40.7
Tim Hardaway Jr.,DAL,79,1.5,10.6,0.97,1.5,0.5,1.3,38,46.5,10.2,6.8,10.2,1.7,40.7,80.5
