PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT Freq%","TOV Freq%","SF Freq%","And One Freq%","Score Freq%",Percentile
Trae Young,ATL,76,12.3,47.5,0.94,11.5,3.6,8.8,41.7,50.8,12.5,17.9,10.2,1.7,40.3,70.9
Shai Gilgeous-Alexander,OKC,76,9.6,34.2,1.10,10.6,3.7,7.2,51.0,55.3,16.5,11.4,14.7,3.6,51.4,94.4
Cade Cunningham,DET,70,11.1,40.7,0.93,10.3,4.0,8.6,46.4,51.8,8.5,16.2,7.6,1.4,42.6,68.2
Anthony Edwards,MIN,79,8.7,33.3,1.02,8.9,2.9,6.6,43.9,54.7,12.8,14.5,10.9,3.2,42.7,86.4
Jalen Green,HOU,82,9.3,42.8,0.92,8.6,3.2,7.5,42.2,48.9,8.8,12.5,8.1,2.1,40.8,67.4
Donovan Mitchell,CLE,71,9.5,41.7,1.01,9.5,3.5,7.8,44.6,51.8,10.4,9.8,9.4,2.2,44.4,83.7
Darius Garland,CLE,75,8.4,42.7,1.02,8.6,3.2,6.7,47.1,55.3,8.3,12.9,8.0,1.4,44.7,86.6
Jalen Brunson,NYK,65,9.4,39.4,1.04,9.8,3.3,7.3,45.6,51.4,15.4,9.7,13.4,2.5,47.7,88.4
Damian Lillard,MIL,58,9.0,39.8,1.07,9.7,3.0,6.6,45.3,53.4,15.3,13.8,14.1,1.7,46.3,92.9
Tyrese Haliburton,IND,73,6.4,38.4,1.11,7.1,2.5,5.5,46.0,56.7,8.8,7.9,7.5,2.1,45.9,95.5
Devin Booker,PHX,75,7.4,30.1,0.94,6.9,2.4,5.6,42.7,47.9,11.9,14.4,11.4,2.0,42.2,70.6
Tyler Herro,MIA,77,7.3,33.1,0.91,6.6,2.5,5.5,45.3,52.0,8.2,18.5,7.6,2.3,40.0,62.9
Jayson Tatum,BOS,72,7.4,28.6,0.95,7.0,2.4,5.8,41.0,52.2,8.3,14.5,7.2,1.5,38.9,73.9
Anfernee Simons,POR,70,7.1,36.9,0.99,7.0,2.6,5.8,44.3,52.2,7.7,11.9,7.5,2.0,42.1,78.9
Jamal Murray,DEN,67,6.9,34.0,1.00,6.9,2.7,5.8,47.3,53.1,6.0,11.2,5.4,0.9,44.7,79.8
Jalen Williams,OKC,69,7.2,34.5,0.87,6.3,2.3,5.4,43.1,44.8,12.8,13.8,11.8,2.0,42.3,54.3
Tyrese Maxey,PHI,52,8.5,33.1,0.98,8.3,3.0,7.2,42.0,50.1,8.2,9.3,7.7,2.3,41.5,77.2
LaMelo Ball,CHA,47,10.0,37.2,0.90,9.0,3.2,8.1,39.4,47.8,8.3,12.6,7.4,1.9,38.3,61.7
James Harden,LAC,79,6.4,27.0,0.84,5.4,1.7,4.4,39.1,46.6,11.1,22.1,10.1,2.4,35.8,46.9
