Season,Team,Vegas_OU
2017-18,Golden State Warriors,67.5
2017-18,Cleveland Cavaliers,53.5
2017-18,Boston Celtics,53.5
2017-18,San Antonio Spurs,55.0
2017-18,Oklahoma City Thunder,53.5
2017-18,Houston Rockets,55.5
2017-18,Minnesota Timberwolves,48.5
2017-18,Milwaukee Bucks,47.5
2017-18,Washington Wizards,48.5
2017-18,Toronto Raptors,48.5
2017-18,Los Angeles Clippers,43.5
2017-18,Philadelphia 76ers,39.5
2017-18,Denver Nuggets,45.5
2017-18,New Orleans Pelicans,39.5
2017-18,Miami Heat,43.5
2017-18,Utah Jazz,40.5
2017-18,Los Angeles Lakers,33.5
2017-18,Portland Trail Blazers,42.5
2017-18,Memphis Grizzlies,37.5
2017-18,Dallas Mavericks,35.5
2017-18,Charlotte Hornets,42.5
2017-18,Detroit Pistons,38.5
2017-18,New York Knicks,30.5
2017-18,Phoenix Suns,28.5
2017-18,Sacramento Kings,27.5
2017-18,Indiana Pacers,31.5
2017-18,Atlanta Hawks,25.5
2017-18,Orlando Magic,33.5
2017-18,Brooklyn Nets,27.5
2017-18,Chicago Bulls,22.0
2018-19,Golden State Warriors,62.5
2018-19,Boston Celtics,59.0
2018-19,Houston Rockets,56.5
2018-19,Los Angeles Lakers,48.5
2018-19,Toronto Raptors,55.5
2018-19,Philadelphia 76ers,53.5
2018-19,Oklahoma City Thunder,48.5
2018-19,Utah Jazz,49.5
2018-19,San Antonio Spurs,43.5
2018-19,New Orleans Pelicans,45.5
2018-19,Milwaukee Bucks,48.0
2018-19,Washington Wizards,45.5
2018-19,Indiana Pacers,47.5
2018-19,Denver Nuggets,47.5
2018-19,Minnesota Timberwolves,41.5
2018-19,Portland Trail Blazers,42.0
2018-19,Miami Heat,43.0
2018-19,Detroit Pistons,38.5
2018-19,New York Knicks,28.5
2018-19,Dallas Mavericks,35.5
2018-19,Los Angeles Clippers,37.0
2018-19,Cleveland Cavaliers,30.5
2018-19,Chicago Bulls,30.0
2018-19,Charlotte Hornets,35.5
2018-19,Memphis Grizzlies,34.5
2018-19,Orlando Magic,31.0
2018-19,Phoenix Suns,29.0
2018-19,Brooklyn Nets,32.0
2018-19,Atlanta Hawks,23.5
2018-19,Sacramento Kings,26.0
2019-20,Los Angeles Clippers,53.5
2019-20,Los Angeles Lakers,50.5
2019-20,Milwaukee Bucks,57.5
2019-20,Houston Rockets,54.0
2019-20,Philadelphia 76ers,54.5
2019-20,Golden State Warriors,47.5
2019-20,Utah Jazz,53.5
2019-20,Denver Nuggets,53.0
2019-20,Boston Celtics,48.5
2019-20,Portland Trail Blazers,46.5
2019-20,Indiana Pacers,46.5
2019-20,Brooklyn Nets,43.5
2019-20,Toronto Raptors,46.5
2019-20,Miami Heat,43.5
2019-20,San Antonio Spurs,46.5
2019-20,Dallas Mavericks,40.5
2019-20,New Orleans Pelicans,37.5
2019-20,Sacramento Kings,37.5
2019-20,Orlando Magic,41.5
2019-20,Atlanta Hawks,33.5
2019-20,Oklahoma City Thunder,32.5
2019-20,Detroit Pistons,37.5
2019-20,Chicago Bulls,33.5
2019-20,Minnesota Timberwolves,35.5
2019-20,Phoenix Suns,29.5
2019-20,Memphis Grizzlies,27.5
2019-20,New York Knicks,26.5
2019-20,Washington Wizards,27.0
2019-20,Cleveland Cavaliers,24.5
2019-20,Charlotte Hornets,23.5
2020-21,Los Angeles Lakers,47.5
2020-21,Milwaukee Bucks,49.5
2020-21,Brooklyn Nets,45.5
2020-21,Los Angeles Clippers,46.5
2020-21,Boston Celtics,44.5
2020-21,Miami Heat,43.5
2020-21,Denver Nuggets,44.5
2020-21,Philadelphia 76ers,43.5
2020-21,Dallas Mavericks,42.5
2020-21,Golden State Warriors,37.5
2020-21,Toronto Raptors,42.5
2020-21,Utah Jazz,41.5
2020-21,Portland Trail Blazers,40.5
2020-21,Phoenix Suns,38.5
2020-21,Houston Rockets,34.5
2020-21,New Orleans Pelicans,36.5
2020-21,Washington Wizards,32.5
2020-21,Atlanta Hawks,34.5
2020-21,Indiana Pacers,38.5
2020-21,Memphis Grizzlies,31.5
2020-21,Minnesota Timberwolves,29.5
2020-21,Oklahoma City Thunder,22.5
2020-21,Orlando Magic,31.5
2020-21,Chicago Bulls,29.5
2020-21,Charlotte Hornets,26.5
2020-21,Sacramento Kings,28.5
2020-21,San Antonio Spurs,28.5
2020-21,New York Knicks,21.5
2020-21,Cleveland Cavaliers,22.5
2020-21,Detroit Pistons,23.5
2021-22,Brooklyn Nets,56.5
2021-22,Los Angeles Lakers,52.5
2021-22,Milwaukee Bucks,54.5
2021-22,Golden State Warriors,48.5
2021-22,Phoenix Suns,51.5
2021-22,Utah Jazz,52.5
2021-22,Philadelphia 76ers,50.5
2021-22,Los Angeles Clippers,45.5
2021-22,Denver Nuggets,47.5
2021-22,Miami Heat,48.5
2021-22,Dallas Mavericks,48.5
2021-22,Atlanta Hawks,47.5
2021-22,Boston Celtics,45.5
2021-22,Portland Trail Blazers,44.5
2021-22,Chicago Bulls,42.5
2021-22,New York Knicks,41.5
2021-22,Memphis Grizzlies,41.5
2021-22,Indiana Pacers,42.5
2021-22,New Orleans Pelicans,39.5
2021-22,Charlotte Hornets,38.5
2021-22,Washington Wizards,33.5
2021-22,Toronto Raptors,35.5
2021-22,Sacramento Kings,36.5
2021-22,Minnesota Timberwolves,35.5
2021-22,San Antonio Spurs,28.5
2021-22,Cleveland Cavaliers,26.5
2021-22,Orlando Magic,22.5
2021-22,Oklahoma City Thunder,23.5
2021-22,Detroit Pistons,24.5
2021-22,Houston Rockets,27.5
2022-23,Boston Celtics,54.5
2022-23,Golden State Warriors,52.5
2022-23,Milwaukee Bucks,53.5
2022-23,Brooklyn Nets,50.5
2022-23,Los Angeles Clippers,52.5
2022-23,Phoenix Suns,52.5
2022-23,Philadelphia 76ers,50.5
2022-23,Miami Heat,49.5
2022-23,Denver Nuggets,51.5
2022-23,Los Angeles Lakers,44.5
2022-23,Memphis Grizzlies,49.5
2022-23,Dallas Mavericks,48.5
2022-23,Minnesota Timberwolves,49.5
2022-23,Cleveland Cavaliers,46.5
2022-23,Toronto Raptors,46.5
2022-23,Chicago Bulls,41.5
2022-23,New Orleans Pelicans,45.5
2022-23,Atlanta Hawks,46.5
2022-23,New York Knicks,38.5
2022-23,Portland Trail Blazers,39.5
2022-23,Charlotte Hornets,34.5
2022-23,Washington Wizards,35.5
2022-23,Detroit Pistons,29.5
2022-23,Oklahoma City Thunder,23.5
2022-23,Orlando Magic,26.5
2022-23,Indiana Pacers,24.5
2022-23,Sacramento Kings,34.5
2022-23,San Antonio Spurs,22.5
2022-23,Houston Rockets,23.5
2022-23,Utah Jazz,23.5
2023-24,Boston Celtics,54.5
2023-24,Denver Nuggets,52.5
2023-24,Phoenix Suns,51.5
2023-24,Milwaukee Bucks,54.5
2023-24,Golden State Warriors,48.5
2023-24,Los Angeles Lakers,47.5
2023-24,Miami Heat,45.5
2023-24,Philadelphia 76ers,48.5
2023-24,Los Angeles Clippers,46.5
2023-24,Memphis Grizzlies,45.5
2023-24,Dallas Mavericks,45.5
2023-24,Cleveland Cavaliers,50.5
2023-24,Sacramento Kings,44.5
2023-24,New Orleans Pelicans,44.5
2023-24,New York Knicks,45.5
2023-24,Minnesota Timberwolves,44.5
2023-24,Atlanta Hawks,42.5
2023-24,Toronto Raptors,36.5
2023-24,Oklahoma City Thunder,44.5
2023-24,Chicago Bulls,37.5
2023-24,Brooklyn Nets,37.5
2023-24,Portland Trail Blazers,28.5
2023-24,San Antonio Spurs,28.5
2023-24,Utah Jazz,35.5
2023-24,Orlando Magic,37.5
2023-24,Indiana Pacers,38.5
2023-24,Houston Rockets,31.5
2023-24,Washington Wizards,24.5
2023-24,Charlotte Hornets,31.5
2023-24,Detroit Pistons,28.5
2024-25,Boston Celtics,58.5
